Start of song
Instrument: strings
Start of notes
Note: beat=0, position=6, pitch=D4, duration=3, instrument=strings
Note: beat=0, position=0, pitch=C4, duration=3, instrument=strings
Note: beat=0, position=6, pitch=C4, duration=3, instrument=strings
Note: beat=0, position=3, pitch=A3, duration=3, instrument=strings
Note: beat=1, position=3, pitch=C3, duration=3, instrument=strings
Note: beat=1, position=9, pitch=C4, duration=3, instrument=strings
Note: beat=2, position=9, pitch=G3, duration=3, instrument=strings
Note: beat=5, position=9, pitch=F2, duration=3, instrument=strings
Note: beat=3, position=3, pitch=F2, duration=3, instrument=strings
Note: beat=4, position=0, pitch=F4, duration=3, instrument=strings
Note: beat=5, position=9, pitch=G3, duration=2, instrument=strings
Note: beat=7, position=0, pitch=F3, duration=3, instrument=strings
Note: beat=5, position=0, pitch=D2, duration=2, instrument=strings
Note: beat=3, position=6, pitch=F2, duration=3, instrument=strings
Note: beat=3, position=6, pitch=F2, duration=3, instrument=strings
Note: beat=5, position=0, pitch=A2, duration=3, instrument=strings
Note: beat=7, position=0, pitch=G3, duration=3, instrument=strings
Note: beat=6, position=0, pitch=C3, duration=3, instrument=strings
Note: beat=7, position=6, pitch=C3, duration=5, instrument=strings
Note: beat=6, position=0, pitch=C4, duration=5, instrument=strings
Note: beat=7, position=0, pitch=D4, duration=3, instrument=strings
Note: beat=8, position=6, pitch=C2, duration=5, instrument=strings
Note: beat=7, position=0, pitch=A2, duration=3, instrument=strings
Note: beat=5, position=0, pitch=C3, duration=6, instrument=strings
Note: beat=12, position=0, pitch=A2, duration=3, instrument=strings
Note: beat=17, position=0, pitch=E2, duration=3, instrument=strings
Note: beat=10, position=0, pitch=E3, duration=3, instrument=strings
Note: beat=10, position=6, pitch=G2, duration=3, instrument=strings
Note: beat=11, position=6, pitch=G2, duration=3, instrument=strings
Note: beat=13, position=0, pitch=D4, duration=3, instrument=strings
Note: beat=17, position=0, pitch=A2, duration=3, instrument=strings
Note: beat=11, position=0, pitch=D4, duration=3, instrument=strings
Note: beat=16, position=0, pitch=A3, duration=5, instrument=strings
Note: beat=16, position=0, pitch=D4, duration=3, instrument=strings
Note: beat=16, position=6, pitch=A3, duration=3, instrument=strings
Note: beat=21, position=6, pitch=C4, duration=3, instrument=strings
Note: beat=33, position=0, pitch=A2, duration=3, instrument=strings
Note: beat=19, position=0, pitch=C2, duration=3, instrument=strings
Note: beat=13, position=0, pitch=D3, duration=3, instrument=strings
Note: beat=15, position=0, pitch=G3, duration=5, instrument=strings
Note: beat=15, position=0, pitch=G2, duration=6, instrument=strings
Note: beat=24, position=6, pitch=G3, duration=3, instrument=strings
Note: beat=28, position=0, pitch=A2, duration=3, instrument=strings
Note: beat=13, position=0, pitch=C5, duration=3, instrument=strings
Note: beat=23, position=0, pitch=G2, duration=3, instrument=strings
Note: beat=34, position=6, pitch=A2, duration=3, instrument=strings
Note: beat=21, position=6, pitch=C4, duration=3, instrument=strings
Note: beat=21, position=0, pitch=C4, duration=3, instrument=strings
Note: beat=25, position=6, pitch=D3, duration=3, instrument=strings
Note: beat=20, position=6, pitch=E4, duration=3, instrument=strings
Note: beat=21, position=6, pitch=G3, duration=10, instrument=strings
Note: beat=30, position=0, pitch=G3, duration=3, instrument=strings
Note: beat=36, position=0, pitch=G3, duration=3, instrument=strings
Note: beat=38, position=6, pitch=G2, duration=3, instrument=strings
Note: beat=21, position=6, pitch=E2, duration=5, instrument=strings
Note: beat=27, position=0, pitch=G3, duration=3, instrument=strings
Note: beat=20, position=0, pitch=C2, duration=3, instrument=strings
Note: beat=21, position=0, pitch=C4, duration=3, instrument=strings
Note: beat=21, position=6, pitch=D2, duration=5, instrument=strings
Note: beat=39, position=0, pitch=E4, duration=6, instrument=strings
Note: beat=26, position=0, pitch=G3, duration=3, instrument=strings
Note: beat=31, position=0, pitch=D2, duration=6, instrument=strings
Note: beat=23, position=6, pitch=G3, duration=3, instrument=strings
Note: beat=26, position=0, pitch=G4, duration=3, instrument=strings
Note: beat=27, position=0, pitch=D2, duration=3, instrument=strings
Note: beat=40, position=6, pitch=D4, duration=3, instrument=strings
Note: beat=29, position=6, pitch=G2, duration=5, instrument=strings
Note: beat=25, position=0, pitch=D4, duration=3, instrument=strings
Note: beat=35, position=6, pitch=C5, duration=3, instrument=strings
Note: beat=48, position=0, pitch=G3, duration=3, instrument=strings
Note: beat=42, position=6, pitch=A2, duration=3, instrument=strings
Note: beat=45, position=0, pitch=G2, duration=3, instrument=strings
Note: beat=31, position=6, pitch=C4, duration=5, instrument=strings
Note: beat=31, position=0, pitch=C2, duration=5, instrument=strings
Note: beat=30, position=0, pitch=E2, duration=6, instrument=strings
Note: beat=44, position=6, pitch=C3, duration=3, instrument=strings
Note: beat=44, position=6, pitch=G4, duration=6, instrument=strings
Note: beat=48, position=6, pitch=C3, duration=6, instrument=strings
Note: beat=50, position=0, pitch=D2, duration=3, instrument=strings
Note: beat=48, position=6, pitch=D4, duration=10, instrument=strings
Note: beat=43, position=0, pitch=G4, duration=5, instrument=strings
Note: beat=41, position=6, pitch=C2, duration=5, instrument=strings
Note: beat=41, position=0, pitch=C4, duration=6, instrument=strings
Note: beat=32, position=6, pitch=A2, duration=3, instrument=strings
Note: beat=47, position=0, pitch=A4, duration=3, instrument=strings
Note: beat=57, position=0, pitch=G4, duration=3, instrument=strings
Note: beat=51, position=6, pitch=D4, duration=6, instrument=strings
Note: beat=52, position=0, pitch=G2, duration=6, instrument=strings
Note: beat=61, position=0, pitch=C2, duration=5, instrument=strings
Note: beat=47, position=6, pitch=G4, duration=5, instrument=strings
Note: beat=57, position=0, pitch=D2, duration=5, instrument=strings
Note: beat=59, position=0, pitch=C4, duration=5, instrument=strings
Note: beat=64, position=6, pitch=G4, duration=3, instrument=strings
Note: beat=55, position=0, pitch=G3, duration=5, instrument=strings
Note: beat=54, position=0, pitch=A2, duration=3, instrument=strings
Note: beat=44, position=0, pitch=A2, duration=3, instrument=strings
Note: beat=59, position=0, pitch=C2, duration=6, instrument=strings
Note: beat=48, position=6, pitch=C2, duration=6, instrument=strings
Note: beat=59, position=6, pitch=C2, duration=10, instrument=strings
Note: beat=53, position=0, pitch=C4, duration=3, instrument=strings
Note: beat=50, position=0, pitch=A2, duration=3, instrument=strings
Note: beat=44, position=0, pitch=E2, duration=10, instrument=strings
Note: beat=56, position=0, pitch=C4, duration=10, instrument=strings
Note: beat=61, position=0, pitch=G2, duration=3, instrument=strings
Note: beat=61, position=6, pitch=C4, duration=5, instrument=strings
Note: beat=54, position=0, pitch=D2, duration=3, instrument=strings
Note: beat=50, position=0, pitch=C2, duration=5, instrument=strings
Note: beat=47, position=0, pitch=E2, duration=3, instrument=strings
Note: beat=58, position=0, pitch=G2, duration=3, instrument=strings
Note: beat=58, position=0, pitch=C3, duration=6, instrument=strings
Note: beat=54, position=6, pitch=D4, duration=3, instrument=strings
Note: beat=60, position=6, pitch=G2, duration=6, instrument=strings
Note: beat=73, position=6, pitch=D2, duration=5, instrument=strings
Note: beat=65, position=0, pitch=G2, duration=3, instrument=strings
Note: beat=51, position=0, pitch=D4, duration=3, instrument=strings
Note: beat=72, position=6, pitch=C3, duration=3, instrument=strings
Note: beat=71, position=6, pitch=G2, duration=5, instrument=strings
Note: beat=55, position=0, pitch=D3, duration=3, instrument=strings
Note: beat=61, position=0, pitch=D3, duration=3, instrument=strings
Note: beat=65, position=6, pitch=E2, duration=3, instrument=strings
Note: beat=66, position=0, pitch=D4, duration=3, instrument=strings
Note: beat=72, position=0, pitch=A2, duration=3, instrument=strings
Note: beat=69, position=0, pitch=D3, duration=3, instrument=strings
Note: beat=72, position=0, pitch=G3, duration=3, instrument=strings
Note: beat=53, position=0, pitch=D2, duration=5, instrument=strings
Note: beat=55, position=6, pitch=C2, duration=3, instrument=strings
Note: beat=71, position=0, pitch=D2, duration=3, instrument=strings
Note: beat=71, position=6, pitch=C2, duration=3, instrument=strings
Note: beat=58, position=6, pitch=C4, duration=3, instrument=strings
Note: beat=61, position=6, pitch=A2, duration=3, instrument=strings
Note: beat=71, position=0, pitch=C3, duration=1, instrument=strings
Note: beat=57, position=0, pitch=G3, duration=5, instrument=strings
Note: beat=51, position=6, pitch=G3, duration=5, instrument=strings
Note: beat=58, position=6, pitch=F2, duration=6, instrument=strings
Start of song
