Start of song
Instrument: strings
Start of notes
Note: beat=0, position=0, pitch=D5, duration=2, instrument=violin
Note: beat=1, position=0, pitch=D5, duration=2, instrument=violin
Note: beat=1, position=6, pitch=G4, duration=2, instrument=violin
Note: beat=1, position=0, pitch=D4, duration=2, instrument=violin
Note: beat=1, position=6, pitch=B4, duration=3, instrument=violin
Note: beat=1, position=6, pitch=A4, duration=1, instrument=violin
Note: beat=2, position=0, pitch=F#4, duration=2, instrument=violin
Note: beat=0, position=0, pitch=D5, duration=1, instrument=violin
Note: beat=2, position=6, pitch=E5, duration=3, instrument=violin
Note: beat=2, position=0, pitch=D3, duration=2, instrument=violin
Note: beat=3, position=0, pitch=D4, duration=1, instrument=violin
Note: beat=1, position=9, pitch=C#5, duration=3, instrument=violin
Note: beat=12, position=0, pitch=G3, duration=2, instrument=violin
Note: beat=5, position=6, pitch=E3, duration=2, instrument=violin
Note: beat=2, position=6, pitch=D4, duration=3, instrument=violin
Note: beat=2, position=6, pitch=A4, duration=1, instrument=violin
Note: beat=2, position=9, pitch=G3, duration=2, instrument=violin
Note: beat=7, position=9, pitch=G3, duration=1, instrument=violin
Note: beat=11, position=9, pitch=B3, duration=1, instrument=violin
Note: beat=14, position=0, pitch=A4, duration=2, instrument=violin
Note: beat=6, position=0, pitch=D4, duration=2, instrument=violin
Note: beat=15, position=9, pitch=D4, duration=3, instrument=violin
Note: beat=3, position=0, pitch=F#4, duration=2, instrument=violin
Note: beat=24, position=6, pitch=B3, duration=1, instrument=violin
Note: beat=5, position=0, pitch=B3, duration=1, instrument=violin
Note: beat=11, position=0, pitch=C#5, duration=3, instrument=violin
Note: beat=9, position=9, pitch=A4, duration=2, instrument=violin
Note: beat=20, position=0, pitch=B3, duration=1, instrument=violin
Note: beat=11, position=0, pitch=E4, duration=2, instrument=violin
Note: beat=8, position=9, pitch=E3, duration=2, instrument=violin
Note: beat=3, position=0, pitch=A4, duration=1, instrument=violin
Note: beat=7, position=9, pitch=A3, duration=2, instrument=violin
Note: beat=13, position=0, pitch=D4, duration=2, instrument=violin
Note: beat=14, position=9, pitch=B4, duration=2, instrument=violin
Note: beat=10, position=0, pitch=D4, duration=1, instrument=violin
Note: beat=10, position=0, pitch=B3, duration=2, instrument=violin
Note: beat=14, position=9, pitch=E5, duration=1, instrument=violin
Note: beat=12, position=0, pitch=D4, duration=1, instrument=violin
Note: beat=23, position=6, pitch=G3, duration=1, instrument=violin
Note: beat=13, position=6, pitch=C#5, duration=2, instrument=violin
Note: beat=17, position=0, pitch=C#4, duration=2, instrument=violin
