Start of song
Instrument: cello
Start of notes
Note: beat=0, position=3, pitch=A3, duration=3, instrument=cello
Note: beat=0, position=6, pitch=G#3, duration=3, instrument=cello
Note: beat=0, position=9, pitch=E3, duration=3, instrument=cello
Note: beat=1, position=0, pitch=A3, duration=3, instrument=cello
Note: beat=1, position=3, pitch=A2, duration=3, instrument=cello
Note: beat=1, position=6, pitch=E3, duration=3, instrument=cello
Note: beat=1, position=9, pitch=D3, duration=3, instrument=cello
Note: beat=2, position=0, pitch=C#3, duration=3, instrument=cello
Note: beat=2, position=3, pitch=A3, duration=3, instrument=cello
Note: beat=2, position=6, pitch=G#3, duration=3, instrument=cello
Note: beat=2, position=9, pitch=E3, duration=3, instrument=cello
Note: beat=3, position=0, pitch=A3, duration=3, instrument=cello
Note: beat=3, position=3, pitch=A2, duration=3, instrument=cello
Note: beat=3, position=6, pitch=E3, duration=3, instrument=cello
Note: beat=3, position=9, pitch=D3, duration=3, instrument=cello
Note: beat=4, position=0, pitch=C#3, duration=3, instrument=cello
Note: beat=4, position=3, pitch=A2, duration=3, instrument=cello
Note: beat=4, position=6, pitch=D3, duration=3, instrument=cello
Note: beat=4, position=9, pitch=B2, duration=3, instrument=cello
Note: beat=5, position=0, pitch=E3, duration=3, instrument=cello
Note: beat=5, position=3, pitch=C#3, duration=3, instrument=cello
Note: beat=5, position=6, pitch=F#3, duration=3, instrument=cello
Note: beat=5, position=9, pitch=D3, duration=3, instrument=cello
Note: beat=6, position=0, pitch=C#3, duration=3, instrument=cello
Note: beat=6, position=3, pitch=A2, duration=3, instrument=cello
Note: beat=6, position=6, pitch=D3, duration=3, instrument=cello
Note: beat=6, position=9, pitch=B2, duration=3, instrument=cello
Note: beat=7, position=0, pitch=E3, duration=3, instrument=cello
Note: beat=7, position=3, pitch=E2, duration=3, instrument=cello
Note: beat=7, position=6, pitch=A2, duration=3, instrument=cello
Note: beat=7, position=9, pitch=A3, duration=6, instrument=cello
Note: beat=8, position=3, pitch=G#3, duration=3, instrument=cello
Note: beat=8, position=6, pitch=A3, duration=3, instrument=cello
Note: beat=8, position=9, pitch=B3, duration=3, instrument=cello
Note: beat=9, position=0, pitch=C#4, duration=3, instrument=cello
Note: beat=9, position=3, pitch=G#3, duration=3, instrument=cello
Note: beat=9, position=6, pitch=A3, duration=3, instrument=cello
Note: beat=9, position=9, pitch=B3, duration=3, instrument=cello
Note: beat=10, position=0, pitch=C#4, duration=3, instrument=cello
Note: beat=10, position=3, pitch=G#3, duration=3, instrument=cello
Note: beat=10, position=6, pitch=A3, duration=3, instrument=cello
Note: beat=10, position=9, pitch=F#3, duration=3, instrument=cello
Note: beat=11, position=0, pitch=G#3, duration=3, instrument=cello
Note: beat=11, position=3, pitch=A#3, duration=3, instrument=cello
Note: beat=11, position=6, pitch=B3, duration=2, instrument=cello
Note: beat=11, position=8, pitch=B4, duration=1, instrument=cello
Note: beat=11, position=9, pitch=A#4, duration=1, instrument=cello
Note: beat=11, position=10, pitch=B4, duration=2, instrument=cello
Note: beat=12, position=0, pitch=G#4, duration=2, instrument=cello
Note: beat=12, position=2, pitch=B4, duration=1, instrument=cello
Note: beat=12, position=3, pitch=E4, duration=1, instrument=cello
Note: beat=12, position=4, pitch=G#4, duration=2, instrument=cello
Note: beat=12, position=6, pitch=C#4, duration=2, instrument=cello
Note: beat=12, position=8, pitch=A4, duration=1, instrument=cello
Note: beat=12, position=9, pitch=G#4, duration=1, instrument=cello
Note: beat=12, position=10, pitch=A4, duration=2, instrument=cello
Note: beat=13, position=0, pitch=F#4, duration=2, instrument=cello
Note: beat=13, position=2, pitch=A4, duration=1, instrument=cello
Note: beat=13, position=3, pitch=D#4, duration=1, instrument=cello
Note: beat=13, position=4, pitch=F#4, duration=2, instrument=cello
Note: beat=13, position=6, pitch=B3, duration=2, instrument=cello
Note: beat=13, position=8, pitch=G#4, duration=1, instrument=cello
Note: beat=13, position=9, pitch=F#4, duration=1, instrument=cello
Note: beat=13, position=10, pitch=G#4, duration=2, instrument=cello
Note: beat=14, position=0, pitch=E4, duration=2, instrument=cello
Note: beat=14, position=2, pitch=G#4, duration=1, instrument=cello
Note: beat=14, position=3, pitch=C#4, duration=1, instrument=cello
Note: beat=14, position=4, pitch=E4, duration=2, instrument=cello
Note: beat=14, position=6, pitch=A3, duration=2, instrument=cello
Note: beat=14, position=8, pitch=F#4, duration=1, instrument=cello
Note: beat=14, position=9, pitch=E4, duration=1, instrument=cello
Note: beat=14, position=10, pitch=F#4, duration=2, instrument=cello
Note: beat=15, position=0, pitch=D#4, duration=2, instrument=cello
Note: beat=15, position=2, pitch=F#4, duration=1, instrument=cello
Note: beat=15, position=3, pitch=B3, duration=1, instrument=cello
Note: beat=15, position=4, pitch=D#4, duration=2, instrument=cello
Note: beat=15, position=6, pitch=G#3, duration=6, instrument=cello
Note: beat=16, position=0, pitch=E4, duration=3, instrument=cello
Note: beat=16, position=3, pitch=G#4, duration=3, instrument=cello
Note: beat=16, position=6, pitch=A4, duration=3, instrument=cello
Note: beat=16, position=9, pitch=C#4, duration=3, instrument=cello
Note: beat=17, position=0, pitch=D#4, duration=3, instrument=cello
Note: beat=17, position=3, pitch=F#4, duration=3, instrument=cello
Note: beat=17, position=6, pitch=G#4, duration=3, instrument=cello
Note: beat=17, position=9, pitch=B3, duration=3, instrument=cello
Note: beat=18, position=0, pitch=C#4, duration=3, instrument=cello
Note: beat=18, position=3, pitch=E4, duration=3, instrument=cello
Note: beat=18, position=6, pitch=F#4, duration=3, instrument=cello
Note: beat=18, position=9, pitch=A3, duration=3, instrument=cello
Note: beat=19, position=0, pitch=B3, duration=3, instrument=cello
Note: beat=19, position=3, pitch=D#4, duration=3, instrument=cello
Note: beat=19, position=6, pitch=E4, duration=3, instrument=cello
Note: beat=19, position=9, pitch=G#3, duration=3, instrument=cello
Note: beat=20, position=0, pitch=A3, duration=3, instrument=cello
Note: beat=20, position=3, pitch=B3, duration=3, instrument=cello
Note: beat=20, position=6, pitch=G#3, duration=3, instrument=cello
Note: beat=20, position=9, pitch=C#4, duration=3, instrument=cello
Note: beat=21, position=0, pitch=A3, duration=3, instrument=cello
Note: beat=21, position=3, pitch=B3, duration=3, instrument=cello
Note: beat=21, position=6, pitch=G#3, duration=3, instrument=cello
Note: beat=21, position=9, pitch=C#4, duration=3, instrument=cello
Note: beat=22, position=0, pitch=A3, duration=3, instrument=cello
Note: beat=22, position=3, pitch=B3, duration=3, instrument=cello
Note: beat=22, position=6, pitch=G#3, duration=3, instrument=cello
Note: beat=22, position=9, pitch=A3, duration=3, instrument=cello
Note: beat=23, position=0, pitch=B3, duration=3, instrument=cello
Note: beat=23, position=3, pitch=B2, duration=3, instrument=cello
Note: beat=23, position=6, pitch=E2, duration=3, instrument=cello
Note: beat=23, position=9, pitch=E3, duration=3, instrument=cello
Note: beat=24, position=0, pitch=A2, duration=3, instrument=cello
Note: beat=24, position=3, pitch=B2, duration=3, instrument=cello
Note: beat=24, position=6, pitch=G#2, duration=3, instrument=cello
Note: beat=24, position=9, pitch=C#3, duration=3, instrument=cello
Note: beat=25, position=0, pitch=A2, duration=3, instrument=cello
Note: beat=25, position=3, pitch=B2, duration=3, instrument=cello
Note: beat=25, position=6, pitch=G#2, duration=3, instrument=cello
Note: beat=25, position=9, pitch=C#3, duration=3, instrument=cello
Note: beat=26, position=0, pitch=A2, duration=3, instrument=cello
Note: beat=26, position=3, pitch=B2, duration=3, instrument=cello
Note: beat=26, position=6, pitch=G#2, duration=3, instrument=cello
Note: beat=26, position=9, pitch=A2, duration=3, instrument=cello
Note: beat=27, position=0, pitch=B2, duration=3, instrument=cello
Note: beat=27, position=3, pitch=B2, duration=3, instrument=cello
Note: beat=27, position=6, pitch=E2, duration=6, instrument=cello
Note: beat=28, position=3, pitch=E3, duration=3, instrument=cello
Note: beat=28, position=6, pitch=D#3, duration=3, instrument=cello
Note: beat=28, position=9, pitch=B2, duration=3, instrument=cello
Note: beat=29, position=0, pitch=E3, duration=3, instrument=cello
Note: beat=29, position=3, pitch=E2, duration=3, instrument=cello
Note: beat=29, position=6, pitch=B2, duration=3, instrument=cello
Note: beat=29, position=9, pitch=A2, duration=3, instrument=cello
Note: beat=30, position=0, pitch=G#2, duration=3, instrument=cello
Note: beat=30, position=3, pitch=E3, duration=3, instrument=cello
Note: beat=30, position=6, pitch=D#3, duration=3, instrument=cello
Note: beat=30, position=9, pitch=B2, duration=3, instrument=cello
Note: beat=31, position=0, pitch=E3, duration=3, instrument=cello
Note: beat=31, position=3, pitch=E2, duration=3, instrument=cello
Note: beat=31, position=6, pitch=B2, duration=3, instrument=cello
Note: beat=31, position=9, pitch=A3, duration=3, instrument=cello
Note: beat=32, position=0, pitch=G#3, duration=3, instrument=cello
Note: beat=32, position=3, pitch=E3, duration=3, instrument=cello
Note: beat=32, position=6, pitch=A3, duration=3, instrument=cello
Note: beat=32, position=9, pitch=F#3, duration=3, instrument=cello
Note: beat=33, position=0, pitch=B3, duration=3, instrument=cello
Note: beat=33, position=3, pitch=G#3, duration=3, instrument=cello
Note: beat=33, position=6, pitch=C#4, duration=3, instrument=cello
Note: beat=33, position=9, pitch=A3, duration=3, instrument=cello
Note: beat=34, position=0, pitch=G#3, duration=3, instrument=cello
Note: beat=34, position=3, pitch=E3, duration=3, instrument=cello
Note: beat=34, position=6, pitch=A3, duration=3, instrument=cello
Note: beat=34, position=9, pitch=F#3, duration=3, instrument=cello
Note: beat=35, position=0, pitch=B3, duration=3, instrument=cello
Note: beat=35, position=3, pitch=B2, duration=3, instrument=cello
Note: beat=35, position=6, pitch=E2, duration=3, instrument=cello
Note: beat=35, position=9, pitch=E3, duration=6, instrument=cello
Note: beat=36, position=3, pitch=D#3, duration=3, instrument=cello
Note: beat=36, position=6, pitch=E3, duration=3, instrument=cello
Note: beat=36, position=9, pitch=C#3, duration=3, instrument=cello
Note: beat=37, position=0, pitch=D3, duration=3, instrument=cello
Note: beat=37, position=3, pitch=A#2, duration=3, instrument=cello
Note: beat=37, position=6, pitch=B2, duration=3, instrument=cello
Note: beat=37, position=9, pitch=B3, duration=6, instrument=cello
Note: beat=38, position=3, pitch=A#3, duration=3, instrument=cello
Note: beat=38, position=6, pitch=B3, duration=3, instrument=cello
Note: beat=38, position=9, pitch=G#3, duration=3, instrument=cello
Note: beat=39, position=0, pitch=A3, duration=3, instrument=cello
Note: beat=39, position=3, pitch=F3, duration=3, instrument=cello
Note: beat=39, position=6, pitch=F#3, duration=9, instrument=cello
Note: beat=40, position=3, pitch=A3, duration=3, instrument=cello
Note: beat=40, position=6, pitch=B3, duration=3, instrument=cello
Note: beat=40, position=9, pitch=D4, duration=3, instrument=cello
Note: beat=41, position=0, pitch=E4, duration=3, instrument=cello
Note: beat=41, position=3, pitch=G#3, duration=3, instrument=cello
Note: beat=41, position=6, pitch=A3, duration=3, instrument=cello
Note: beat=41, position=9, pitch=C#4, duration=3, instrument=cello
Note: beat=42, position=0, pitch=D4, duration=3, instrument=cello
Note: beat=42, position=3, pitch=F#3, duration=3, instrument=cello
Note: beat=42, position=6, pitch=G#3, duration=3, instrument=cello
Note: beat=42, position=9, pitch=B3, duration=3, instrument=cello
Note: beat=43, position=0, pitch=C#4, duration=3, instrument=cello
Note: beat=43, position=3, pitch=F3, duration=3, instrument=cello
Note: beat=43, position=6, pitch=F#3, duration=3, instrument=cello
Note: beat=43, position=9, pitch=C#4, duration=3, instrument=cello
Note: beat=44, position=0, pitch=A3, duration=2, instrument=cello
Note: beat=44, position=2, pitch=C#4, duration=1, instrument=cello
Note: beat=44, position=3, pitch=F#4, duration=1, instrument=cello
Note: beat=44, position=4, pitch=E4, duration=2, instrument=cello
Note: beat=44, position=6, pitch=D4, duration=2, instrument=cello
Note: beat=44, position=8, pitch=F#4, duration=1, instrument=cello
Note: beat=44, position=9, pitch=B3, duration=1, instrument=cello
Note: beat=44, position=10, pitch=D4, duration=2, instrument=cello
Note: beat=45, position=0, pitch=G#3, duration=2, instrument=cello
