Start of song
Instrument: cello
Start of notes
Note: beat=0, position=6, pitch=F#3, duration=3, instrument=cello
Note: beat=0, position=3, pitch=C3, duration=6, instrument=cello
Note: beat=0, position=0, pitch=A2, duration=3, instrument=cello
Note: beat=1, position=3, pitch=A3, duration=3, instrument=cello
Note: beat=2, position=0, pitch=B3, duration=6, instrument=cello
Note: beat=1, position=0, pitch=B3, duration=6, instrument=cello
Note: beat=2, position=3, pitch=E3, duration=6, instrument=cello
Note: beat=3, position=3, pitch=G3, duration=3, instrument=cello
Note: beat=3, position=3, pitch=G3, duration=3, instrument=cello
Note: beat=7, position=0, pitch=B2, duration=6, instrument=cello
Note: beat=3, position=0, pitch=E3, duration=6, instrument=cello
Note: beat=7, position=0, pitch=B2, duration=6, instrument=cello
Note: beat=3, position=0, pitch=G3, duration=3, instrument=cello
Note: beat=3, position=3, pitch=A2, duration=2, instrument=cello
Note: beat=4, position=3, pitch=G3, duration=3, instrument=cello
Note: beat=6, position=0, pitch=B3, duration=2, instrument=cello
Note: beat=6, position=0, pitch=G3, duration=3, instrument=cello
Note: beat=7, position=0, pitch=D3, duration=3, instrument=cello
Note: beat=6, position=0, pitch=E4, duration=3, instrument=cello
Note: beat=7, position=3, pitch=A3, duration=3, instrument=cello
Note: beat=8, position=6, pitch=A3, duration=6, instrument=cello
Note: beat=5, position=0, pitch=D3, duration=1, instrument=cello
Note: beat=6, position=6, pitch=G2, duration=3, instrument=cello
Note: beat=9, position=6, pitch=D4, duration=3, instrument=cello
Note: beat=13, position=0, pitch=D3, duration=3, instrument=cello
Note: beat=6, position=6, pitch=G3, duration=3, instrument=cello
Note: beat=14, position=0, pitch=D4, duration=3, instrument=cello
Note: beat=10, position=0, pitch=D3, duration=3, instrument=cello
Note: beat=17, position=0, pitch=B2, duration=3, instrument=cello
Note: beat=15, position=0, pitch=D4, duration=2, instrument=cello
Note: beat=9, position=6, pitch=E3, duration=3, instrument=cello
Note: beat=8, position=0, pitch=B2, duration=6, instrument=cello
Note: beat=13, position=0, pitch=G3, duration=6, instrument=cello
Note: beat=11, position=0, pitch=G2, duration=1, instrument=cello
Note: beat=7, position=0, pitch=B2, duration=3, instrument=cello
Note: beat=9, position=6, pitch=G3, duration=3, instrument=cello
Note: beat=17, position=6, pitch=E3, duration=3, instrument=cello
Note: beat=9, position=6, pitch=B3, duration=3, instrument=cello
Note: beat=13, position=0, pitch=D3, duration=3, instrument=cello
Note: beat=14, position=6, pitch=B2, duration=3, instrument=cello
Note: beat=13, position=0, pitch=D3, duration=6, instrument=cello
Note: beat=17, position=0, pitch=B2, duration=6, instrument=cello
Note: beat=12, position=0, pitch=D3, duration=3, instrument=cello
Note: beat=22, position=6, pitch=G3, duration=2, instrument=cello
Note: beat=19, position=6, pitch=D3, duration=3, instrument=cello
Note: beat=10, position=6, pitch=D3, duration=6, instrument=cello
Note: beat=22, position=6, pitch=G2, duration=3, instrument=cello
Note: beat=17, position=0, pitch=B3, duration=3, instrument=cello
Note: beat=21, position=0, pitch=B3, duration=3, instrument=cello
Note: beat=9, position=0, pitch=B2, duration=3, instrument=cello
Note: beat=19, position=0, pitch=E3, duration=3, instrument=cello
Note: beat=16, position=6, pitch=D4, duration=3, instrument=cello
Note: beat=22, position=0, pitch=D3, duration=3, instrument=cello
Note: beat=15, position=6, pitch=F#3, duration=3, instrument=cello
Note: beat=17, position=6, pitch=G3, duration=2, instrument=cello
Note: beat=21, position=6, pitch=G3, duration=3, instrument=cello
Note: beat=24, position=0, pitch=D3, duration=3, instrument=cello
Note: beat=17, position=9, pitch=G3, duration=3, instrument=cello
Note: beat=16, position=0, pitch=D2, duration=3, instrument=cello
Note: beat=18, position=6, pitch=E3, duration=3, instrument=cello
Note: beat=19, position=6, pitch=E3, duration=3, instrument=cello
Note: beat=25, position=0, pitch=G3, duration=3, instrument=cello
Note: beat=18, position=0, pitch=A2, duration=3, instrument=cello
Note: beat=18, position=0, pitch=D3, duration=3, instrument=cello
Note: beat=20, position=6, pitch=B3, duration=1, instrument=cello
Note: beat=17, position=0, pitch=B2, duration=2, instrument=cello
Note: beat=26, position=0, pitch=G3, duration=3, instrument=cello
Note: beat=21, position=6, pitch=E3, duration=3, instrument=cello
