Start of song
Instrument: viola
Start of notes
Note: beat=0, position=0, pitch=D4, duration=3, instrument=viola
Note: beat=0, position=3, pitch=G4, duration=6, instrument=viola
Note: beat=0, position=9, pitch=F#4, duration=3, instrument=viola
Note: beat=1, position=0, pitch=B3, duration=3, instrument=viola
Note: beat=1, position=3, pitch=E4, duration=6, instrument=viola
Note: beat=1, position=9, pitch=D4, duration=3, instrument=viola
Note: beat=2, position=0, pitch=G3, duration=3, instrument=viola
Note: beat=2, position=3, pitch=C4, duration=6, instrument=viola
Note: beat=2, position=9, pitch=B3, duration=3, instrument=viola
Note: beat=3, position=0, pitch=E4, duration=6, instrument=viola
Note: beat=3, position=6, pitch=D4, duration=6, instrument=viola
Note: beat=4, position=0, pitch=C4, duration=3, instrument=viola
Note: beat=4, position=3, pitch=B3, duration=1, instrument=viola
Note: beat=4, position=4, pitch=A3, duration=2, instrument=viola
Note: beat=4, position=6, pitch=B3, duration=3, instrument=viola
Note: beat=4, position=9, pitch=G3, duration=3, instrument=viola
Note: beat=5, position=0, pitch=F#3, duration=6, instrument=viola
Note: beat=5, position=6, pitch=G3, duration=6, instrument=viola
Note: beat=6, position=0, pitch=A3, duration=3, instrument=viola
Note: beat=6, position=3, pitch=D4, duration=3, instrument=viola
Note: beat=6, position=6, pitch=B3, duration=3, instrument=viola
Note: beat=6, position=9, pitch=G3, duration=3, instrument=viola
Note: beat=7, position=0, pitch=D3, duration=6, instrument=viola
Note: beat=8, position=0, pitch=D4, duration=3, instrument=viola
Note: beat=8, position=3, pitch=G4, duration=6, instrument=viola
Note: beat=8, position=9, pitch=F#4, duration=3, instrument=viola
Note: beat=9, position=0, pitch=B3, duration=3, instrument=viola
Note: beat=9, position=3, pitch=E4, duration=6, instrument=viola
Note: beat=9, position=9, pitch=D4, duration=3, instrument=viola
Note: beat=10, position=0, pitch=D4, duration=3, instrument=viola
Note: beat=10, position=3, pitch=C4, duration=6, instrument=viola
Note: beat=10, position=9, pitch=B3, duration=3, instrument=viola
Note: beat=11, position=0, pitch=E4, duration=6, instrument=viola
Note: beat=11, position=6, pitch=D4, duration=6, instrument=viola
Note: beat=12, position=0, pitch=C4, duration=3, instrument=viola
Note: beat=12, position=3, pitch=B3, duration=1, instrument=viola
Note: beat=12, position=4, pitch=A3, duration=2, instrument=viola
Note: beat=12, position=6, pitch=B3, duration=3, instrument=viola
Note: beat=12, position=9, pitch=G3, duration=3, instrument=viola
Note: beat=13, position=0, pitch=F#3, duration=6, instrument=viola
Note: beat=13, position=6, pitch=G3, duration=6, instrument=viola
Note: beat=14, position=0, pitch=A3, duration=3, instrument=viola
Note: beat=14, position=3, pitch=D4, duration=3, instrument=viola
Note: beat=14, position=6, pitch=B3, duration=3, instrument=viola
Note: beat=14, position=9, pitch=G3, duration=3, instrument=viola
Note: beat=15, position=0, pitch=D3, duration=6, instrument=viola
Note: beat=15, position=6, pitch=D4, duration=6, instrument=viola
Note: beat=16, position=0, pitch=D4, duration=3, instrument=viola
Note: beat=16, position=3, pitch=C4, duration=1, instrument=viola
Note: beat=16, position=4, pitch=B3, duration=2, instrument=viola
Note: beat=16, position=6, pitch=C4, duration=3, instrument=viola
Note: beat=16, position=9, pitch=B3, duration=1, instrument=viola
Note: beat=16, position=10, pitch=A3, duration=2, instrument=viola
Note: beat=17, position=0, pitch=B3, duration=3, instrument=viola
Note: beat=17, position=3, pitch=A3, duration=1, instrument=viola
Note: beat=17, position=4, pitch=G3, duration=2, instrument=viola
Note: beat=17, position=6, pitch=A3, duration=3, instrument=viola
Note: beat=17, position=9, pitch=G3, duration=1, instrument=viola
Note: beat=17, position=10, pitch=F#3, duration=2, instrument=viola
Note: beat=18, position=0, pitch=G3, duration=3, instrument=viola
Note: beat=18, position=3, pitch=B3, duration=3, instrument=viola
Note: beat=18, position=6, pitch=C4, duration=3, instrument=viola
Note: beat=18, position=9, pitch=D4, duration=3, instrument=viola
