Start of song
Instrument: viola
Start of notes
Note: beat=0, position=6, pitch=D4, duration=3, instrument=contrabass
Note: beat=0, position=6, pitch=F3, duration=4, instrument=contrabass
Note: beat=1, position=6, pitch=F3, duration=2, instrument=contrabass
Note: beat=3, position=0, pitch=A#3, duration=3, instrument=contrabass
Note: beat=1, position=0, pitch=F3, duration=6, instrument=contrabass
Note: beat=1, position=6, pitch=G3, duration=6, instrument=contrabass
Note: beat=2, position=0, pitch=C4, duration=3, instrument=contrabass
Note: beat=3, position=0, pitch=C3, duration=3, instrument=contrabass
Note: beat=3, position=0, pitch=C3, duration=2, instrument=contrabass
Note: beat=3, position=6, pitch=A#2, duration=2, instrument=contrabass
Note: beat=4, position=0, pitch=F3, duration=3, instrument=contrabass
Note: beat=3, position=6, pitch=F3, duration=3, instrument=contrabass
Note: beat=13, position=0, pitch=C3, duration=6, instrument=contrabass
Note: beat=7, position=0, pitch=F3, duration=2, instrument=contrabass
Note: beat=8, position=6, pitch=G3, duration=3, instrument=contrabass
Note: beat=6, position=0, pitch=C4, duration=2, instrument=contrabass
Note: beat=7, position=6, pitch=A#3, duration=2, instrument=contrabass
Note: beat=7, position=6, pitch=D#4, duration=2, instrument=contrabass
Note: beat=6, position=0, pitch=D#3, duration=2, instrument=contrabass
Note: beat=6, position=6, pitch=A#2, duration=3, instrument=contrabass
Note: beat=7, position=6, pitch=C4, duration=6, instrument=contrabass
Note: beat=11, position=6, pitch=F3, duration=6, instrument=contrabass
Note: beat=9, position=0, pitch=A#3, duration=2, instrument=contrabass
Note: beat=13, position=6, pitch=F3, duration=12, instrument=contrabass
Note: beat=17, position=0, pitch=A#2, duration=6, instrument=contrabass
Note: beat=10, position=0, pitch=A#3, duration=6, instrument=contrabass
Note: beat=11, position=0, pitch=A#2, duration=1, instrument=contrabass
Note: beat=20, position=6, pitch=A#2, duration=6, instrument=contrabass
Note: beat=9, position=0, pitch=F2, duration=6, instrument=contrabass
Note: beat=10, position=6, pitch=A#2, duration=6, instrument=contrabass
Note: beat=17, position=6, pitch=D3, duration=3, instrument=contrabass
Note: beat=21, position=6, pitch=C4, duration=2, instrument=contrabass
Note: beat=20, position=0, pitch=D#2, duration=3, instrument=contrabass
Note: beat=19, position=6, pitch=A#2, duration=2, instrument=contrabass
Note: beat=18, position=6, pitch=A#3, duration=3, instrument=contrabass
Note: beat=13, position=0, pitch=C3, duration=1, instrument=contrabass
Note: beat=15, position=6, pitch=A#2, duration=2, instrument=contrabass
Note: beat=11, position=0, pitch=A#2, duration=6, instrument=contrabass
Note: beat=14, position=6, pitch=D3, duration=3, instrument=contrabass
Note: beat=14, position=0, pitch=D#3, duration=3, instrument=contrabass
Note: beat=11, position=0, pitch=C3, duration=2, instrument=contrabass
Note: beat=24, position=6, pitch=C3, duration=1, instrument=contrabass
Note: beat=14, position=0, pitch=A#2, duration=3, instrument=contrabass
Note: beat=24, position=0, pitch=A#3, duration=2, instrument=contrabass
Note: beat=20, position=6, pitch=A3, duration=1, instrument=contrabass
Note: beat=23, position=6, pitch=C3, duration=3, instrument=contrabass
Note: beat=12, position=0, pitch=A#3, duration=6, instrument=contrabass
Note: beat=16, position=0, pitch=D#2, duration=1, instrument=contrabass
Note: beat=21, position=0, pitch=D#2, duration=3, instrument=contrabass
Note: beat=21, position=0, pitch=A#2, duration=3, instrument=contrabass
Note: beat=16, position=6, pitch=A#2, duration=6, instrument=contrabass
Note: beat=33, position=0, pitch=D3, duration=3, instrument=contrabass
Note: beat=35, position=0, pitch=A#3, duration=6, instrument=contrabass
Note: beat=23, position=6, pitch=D4, duration=3, instrument=contrabass
Note: beat=16, position=6, pitch=D#3, duration=2, instrument=contrabass
Note: beat=13, position=6, pitch=A#2, duration=2, instrument=contrabass
Note: beat=23, position=0, pitch=D3, duration=3, instrument=contrabass
Note: beat=17, position=0, pitch=F3, duration=2, instrument=contrabass
Note: beat=23, position=6, pitch=D#2, duration=3, instrument=contrabass
Note: beat=15, position=6, pitch=F2, duration=2, instrument=contrabass
Note: beat=21, position=0, pitch=A#1, duration=3, instrument=contrabass
Note: beat=19, position=0, pitch=F3, duration=6, instrument=contrabass
Note: beat=18, position=0, pitch=C3, duration=2, instrument=contrabass
Note: beat=24, position=0, pitch=F2, duration=6, instrument=contrabass
Note: beat=31, position=0, pitch=D3, duration=3, instrument=contrabass
Note: beat=21, position=6, pitch=C3, duration=3, instrument=contrabass
Note: beat=18, position=6, pitch=G3, duration=6, instrument=contrabass
Note: beat=14, position=6, pitch=F2, duration=6, instrument=contrabass
Note: beat=20, position=6, pitch=A3, duration=3, instrument=contrabass
Note: beat=27, position=6, pitch=A#2, duration=6, instrument=contrabass
Note: beat=28, position=0, pitch=A#2, duration=3, instrument=contrabass
Note: beat=25, position=0, pitch=A#2, duration=3, instrument=contrabass
Note: beat=24, position=6, pitch=C3, duration=3, instrument=contrabass
Note: beat=18, position=0, pitch=C3, duration=1, instrument=contrabass
Note: beat=22, position=6, pitch=F2, duration=3, instrument=contrabass
Note: beat=33, position=6, pitch=F2, duration=6, instrument=contrabass
Note: beat=27, position=0, pitch=C3, duration=6, instrument=contrabass
Note: beat=27, position=6, pitch=G2, duration=3, instrument=contrabass
Note: beat=25, position=6, pitch=F3, duration=3, instrument=contrabass
Note: beat=34, position=6, pitch=D#2, duration=3, instrument=contrabass
Note: beat=25, position=0, pitch=F3, duration=3, instrument=contrabass
Note: beat=34, position=0, pitch=F3, duration=3, instrument=contrabass
Note: beat=33, position=0, pitch=C4, duration=3, instrument=contrabass
Note: beat=28, position=0, pitch=F3, duration=12, instrument=contrabass
Note: beat=20, position=6, pitch=A#3, duration=3, instrument=contrabass
Note: beat=24, position=0, pitch=G3, duration=3, instrument=contrabass
Note: beat=28, position=0, pitch=A#3, duration=3, instrument=contrabass
Note: beat=40, position=0, pitch=G3, duration=1, instrument=contrabass
Note: beat=33, position=0, pitch=F3, duration=3, instrument=contrabass
Note: beat=47, position=0, pitch=D#3, duration=1, instrument=contrabass
Note: beat=46, position=0, pitch=A#2, duration=6, instrument=contrabass
Note: beat=42, position=6, pitch=G2, duration=1, instrument=contrabass
Note: beat=30, position=0, pitch=A#2, duration=2, instrument=contrabass
Note: beat=24, position=6, pitch=A#1, duration=12, instrument=contrabass
Note: beat=47, position=0, pitch=G3, duration=3, instrument=contrabass
Note: beat=32, position=0, pitch=C4, duration=3, instrument=contrabass
Note: beat=30, position=0, pitch=D3, duration=6, instrument=contrabass
Note: beat=39, position=0, pitch=C3, duration=3, instrument=contrabass
