Start of song
Instrument: cello
Start of notes
Note: beat=0, position=0, pitch=A#3, duration=3, instrument=cello
Note: beat=0, position=3, pitch=F4, duration=3, instrument=cello
Note: beat=0, position=0, pitch=D3, duration=2, instrument=cello
Note: beat=0, position=0, pitch=D4, duration=6, instrument=cello
Note: beat=0, position=0, pitch=D2, duration=2, instrument=cello
Note: beat=1, position=6, pitch=D3, duration=3, instrument=cello
Note: beat=4, position=6, pitch=A#2, duration=6, instrument=cello
Note: beat=2, position=0, pitch=A3, duration=2, instrument=cello
Note: beat=7, position=0, pitch=F2, duration=3, instrument=cello
Note: beat=2, position=0, pitch=F3, duration=3, instrument=cello
Note: beat=4, position=3, pitch=C4, duration=2, instrument=cello
Note: beat=3, position=3, pitch=G3, duration=2, instrument=cello
Note: beat=2, position=0, pitch=G3, duration=3, instrument=cello
Note: beat=3, position=0, pitch=A#3, duration=2, instrument=cello
Note: beat=6, position=9, pitch=D#3, duration=2, instrument=cello
Note: beat=5, position=0, pitch=D#3, duration=2, instrument=cello
Note: beat=10, position=3, pitch=A#2, duration=3, instrument=cello
Note: beat=4, position=3, pitch=D#3, duration=1, instrument=cello
Note: beat=5, position=0, pitch=D3, duration=1, instrument=cello
Note: beat=20, position=0, pitch=A#2, duration=3, instrument=cello
Note: beat=5, position=0, pitch=G2, duration=3, instrument=cello
Note: beat=5, position=0, pitch=C2, duration=2, instrument=cello
Note: beat=5, position=9, pitch=F3, duration=1, instrument=cello
Note: beat=5, position=3, pitch=D3, duration=3, instrument=cello
Note: beat=6, position=0, pitch=C3, duration=6, instrument=cello
Note: beat=5, position=6, pitch=G3, duration=3, instrument=cello
Note: beat=5, position=3, pitch=A3, duration=2, instrument=cello
Note: beat=8, position=0, pitch=A#2, duration=2, instrument=cello
Note: beat=11, position=0, pitch=F3, duration=3, instrument=cello
Note: beat=8, position=9, pitch=A#2, duration=3, instrument=cello
Note: beat=9, position=3, pitch=A3, duration=1, instrument=cello
Note: beat=6, position=0, pitch=C3, duration=2, instrument=cello
Note: beat=6, position=9, pitch=C3, duration=6, instrument=cello
Note: beat=16, position=0, pitch=G3, duration=3, instrument=cello
Note: beat=12, position=0, pitch=C4, duration=2, instrument=cello
Note: beat=17, position=0, pitch=D3, duration=3, instrument=cello
Note: beat=14, position=9, pitch=C4, duration=2, instrument=cello
Note: beat=8, position=9, pitch=A#3, duration=3, instrument=cello
Note: beat=12, position=9, pitch=D#3, duration=1, instrument=cello
Note: beat=21, position=9, pitch=A#2, duration=6, instrument=cello
Note: beat=11, position=9, pitch=E3, duration=1, instrument=cello
Note: beat=10, position=9, pitch=F2, duration=1, instrument=cello
Note: beat=11, position=0, pitch=F2, duration=3, instrument=cello
Note: beat=13, position=0, pitch=F3, duration=6, instrument=cello
Note: beat=8, position=9, pitch=C2, duration=3, instrument=cello
Note: beat=7, position=9, pitch=G2, duration=3, instrument=cello
Note: beat=11, position=9, pitch=F2, duration=3, instrument=cello
Note: beat=13, position=9, pitch=A#3, duration=1, instrument=cello
Note: beat=13, position=9, pitch=E3, duration=2, instrument=cello
Note: beat=12, position=0, pitch=F3, duration=3, instrument=cello
Note: beat=9, position=0, pitch=D2, duration=1, instrument=cello
Note: beat=17, position=9, pitch=F3, duration=2, instrument=cello
Note: beat=21, position=3, pitch=D#2, duration=3, instrument=cello
Note: beat=17, position=9, pitch=G3, duration=6, instrument=cello
Note: beat=14, position=0, pitch=G3, duration=3, instrument=cello
Note: beat=15, position=0, pitch=F3, duration=1, instrument=cello
Note: beat=11, position=0, pitch=D2, duration=3, instrument=cello
Note: beat=18, position=9, pitch=A2, duration=6, instrument=cello
Note: beat=13, position=9, pitch=F3, duration=2, instrument=cello
Note: beat=16, position=0, pitch=F2, duration=3, instrument=cello
Note: beat=13, position=9, pitch=G3, duration=6, instrument=cello
Note: beat=23, position=9, pitch=A#2, duration=1, instrument=cello
Note: beat=18, position=6, pitch=D#3, duration=1, instrument=cello
Note: beat=17, position=9, pitch=A#3, duration=2, instrument=cello
Note: beat=20, position=3, pitch=A#3, duration=2, instrument=cello
Note: beat=12, position=0, pitch=D3, duration=3, instrument=cello
Note: beat=12, position=0, pitch=C4, duration=2, instrument=cello
Note: beat=17, position=0, pitch=F3, duration=2, instrument=cello
Note: beat=21, position=3, pitch=D2, duration=2, instrument=cello
Note: beat=10, position=3, pitch=F3, duration=2, instrument=cello
Note: beat=18, position=0, pitch=F3, duration=2, instrument=cello
Note: beat=26, position=9, pitch=D3, duration=3, instrument=cello
Note: beat=16, position=0, pitch=G3, duration=3, instrument=cello
Note: beat=22, position=0, pitch=C2, duration=6, instrument=cello
Note: beat=14, position=3, pitch=C3, duration=1, instrument=cello
Note: beat=23, position=3, pitch=F3, duration=3, instrument=cello
Note: beat=15, position=9, pitch=F3, duration=3, instrument=cello
Note: beat=19, position=9, pitch=F2, duration=3, instrument=cello
Note: beat=20, position=9, pitch=A#2, duration=3, instrument=cello
Note: beat=21, position=0, pitch=G3, duration=2, instrument=cello
Note: beat=25, position=3, pitch=A3, duration=3, instrument=cello
Note: beat=20, position=9, pitch=A#2, duration=2, instrument=cello
Note: beat=13, position=3, pitch=G3, duration=3, instrument=cello
Note: beat=17, position=3, pitch=D2, duration=2, instrument=cello
Note: beat=18, position=9, pitch=A#3, duration=3, instrument=cello
Note: beat=20, position=9, pitch=C4, duration=3, instrument=cello
Note: beat=15, position=9, pitch=A#3, duration=6, instrument=cello
Note: beat=17, position=3, pitch=A3, duration=1, instrument=cello
Note: beat=20, position=3, pitch=G2, duration=3, instrument=cello
Note: beat=19, position=0, pitch=C3, duration=1, instrument=cello
Note: beat=15, position=0, pitch=A#3, duration=2, instrument=cello
Note: beat=22, position=9, pitch=C3, duration=1, instrument=cello
Note: beat=24, position=3, pitch=G2, duration=2, instrument=cello
Note: beat=20, position=3, pitch=A2, duration=3, instrument=cello
Note: beat=18, position=3, pitch=F3, duration=3, instrument=cello
Note: beat=23, position=3, pitch=F2, duration=2, instrument=cello
Note: beat=19, position=0, pitch=G2, duration=2, instrument=cello
Note: beat=22, position=0, pitch=D#3, duration=1, instrument=cello
Note: beat=20, position=0, pitch=A#2, duration=2, instrument=cello
Note: beat=31, position=9, pitch=F2, duration=6, instrument=cello
Note: beat=23, position=9, pitch=C2, duration=3, instrument=cello
Note: beat=26, position=6, pitch=C3, duration=6, instrument=cello
Note: beat=35, position=0, pitch=C3, duration=2, instrument=cello
Note: beat=24, position=9, pitch=A3, duration=2, instrument=cello
Note: beat=24, position=0, pitch=C3, duration=3, instrument=cello
Note: beat=29, position=9, pitch=A2, duration=6, instrument=cello
Note: beat=32, position=0, pitch=F3, duration=2, instrument=cello
Note: beat=36, position=9, pitch=A3, duration=3, instrument=cello
Note: beat=30, position=0, pitch=A#2, duration=2, instrument=cello
Note: beat=21, position=0, pitch=D2, duration=1, instrument=cello
Note: beat=38, position=9, pitch=F2, duration=2, instrument=cello
Note: beat=21, position=3, pitch=A3, duration=1, instrument=cello
Note: beat=38, position=9, pitch=A#2, duration=3, instrument=cello
Note: beat=29, position=9, pitch=F2, duration=1, instrument=cello
Note: beat=35, position=3, pitch=A3, duration=3, instrument=cello
Note: beat=22, position=3, pitch=A#2, duration=2, instrument=cello
Note: beat=35, position=9, pitch=F3, duration=3, instrument=cello
Note: beat=30, position=3, pitch=A#2, duration=2, instrument=cello
Note: beat=28, position=9, pitch=A2, duration=6, instrument=cello
Note: beat=36, position=0, pitch=F3, duration=6, instrument=cello
Note: beat=31, position=9, pitch=G2, duration=1, instrument=cello
Note: beat=29, position=3, pitch=A2, duration=2, instrument=cello
Note: beat=36, position=0, pitch=F2, duration=2, instrument=cello
Note: beat=39, position=3, pitch=A#2, duration=2, instrument=cello
Note: beat=47, position=3, pitch=D2, duration=6, instrument=cello
Note: beat=40, position=9, pitch=C3, duration=3, instrument=cello
Note: beat=41, position=3, pitch=F3, duration=2, instrument=cello
Note: beat=29, position=0, pitch=F2, duration=1, instrument=cello
Note: beat=29, position=3, pitch=G2, duration=1, instrument=cello
Note: beat=33, position=9, pitch=A#2, duration=3, instrument=cello
Note: beat=40, position=3, pitch=F3, duration=6, instrument=cello
Note: beat=36, position=3, pitch=A3, duration=6, instrument=cello
Note: beat=37, position=3, pitch=A2, duration=3, instrument=cello
Note: beat=31, position=3, pitch=F3, duration=2, instrument=cello
Note: beat=30, position=9, pitch=G2, duration=3, instrument=cello
Note: beat=36, position=9, pitch=C3, duration=6, instrument=cello
Note: beat=32, position=9, pitch=D2, duration=1, instrument=cello
Note: beat=47, position=9, pitch=A#2, duration=6, instrument=cello
Note: beat=37, position=9, pitch=D3, duration=2, instrument=cello
Note: beat=52, position=9, pitch=F3, duration=2, instrument=cello
Note: beat=42, position=3, pitch=A#1, duration=2, instrument=cello
Note: beat=54, position=0, pitch=A#3, duration=2, instrument=cello
Note: beat=48, position=9, pitch=A#1, duration=3, instrument=cello
Note: beat=49, position=0, pitch=C3, duration=2, instrument=cello
Note: beat=64, position=9, pitch=A3, duration=2, instrument=cello
Note: beat=52, position=9, pitch=F2, duration=2, instrument=cello
Note: beat=40, position=3, pitch=A#1, duration=6, instrument=cello
Note: beat=37, position=9, pitch=G2, duration=6, instrument=cello
Note: beat=31, position=9, pitch=A#3, duration=2, instrument=cello
Note: beat=33, position=9, pitch=G2, duration=6, instrument=cello
Note: beat=47, position=3, pitch=A#1, duration=2, instrument=cello
Note: beat=49, position=3, pitch=G3, duration=3, instrument=cello
Note: beat=35, position=3, pitch=G2, duration=6, instrument=cello
Note: beat=46, position=9, pitch=G2, duration=1, instrument=cello
Note: beat=47, position=9, pitch=G3, duration=6, instrument=cello
Note: beat=36, position=3, pitch=D3, duration=2, instrument=cello
Note: beat=51, position=9, pitch=A2, duration=3, instrument=cello
Note: beat=38, position=3, pitch=F3, duration=3, instrument=cello
Note: beat=36, position=0, pitch=F3, duration=1, instrument=cello
Note: beat=40, position=9, pitch=A#3, duration=3, instrument=cello
Note: beat=39, position=3, pitch=F3, duration=3, instrument=cello
Note: beat=34, position=3, pitch=A#2, duration=1, instrument=cello
Note: beat=53, position=9, pitch=G3, duration=2, instrument=cello
Note: beat=41, position=3, pitch=A#1, duration=2, instrument=cello
Note: beat=47, position=9, pitch=C3, duration=2, instrument=cello
Note: beat=54, position=9, pitch=A#3, duration=6, instrument=cello
Note: beat=63, position=9, pitch=D2, duration=3, instrument=cello
Note: beat=40, position=9, pitch=F3, duration=2, instrument=cello
Note: beat=51, position=3, pitch=A#2, duration=3, instrument=cello
Note: beat=54, position=0, pitch=A#2, duration=3, instrument=cello
Note: beat=52, position=3, pitch=D2, duration=1, instrument=cello
Note: beat=46, position=0, pitch=A#1, duration=2, instrument=cello
Note: beat=45, position=3, pitch=F2, duration=1, instrument=cello
Note: beat=38, position=0, pitch=A3, duration=2, instrument=cello
Note: beat=55, position=9, pitch=A3, duration=2, instrument=cello
Note: beat=50, position=9, pitch=C3, duration=3, instrument=cello
Note: beat=38, position=3, pitch=D3, duration=3, instrument=cello
Note: beat=44, position=3, pitch=C3, duration=1, instrument=cello
Note: beat=49, position=3, pitch=D3, duration=2, instrument=cello
Note: beat=64, position=9, pitch=A#1, duration=1, instrument=cello
Note: beat=55, position=3, pitch=A#2, duration=1, instrument=cello
Note: beat=36, position=3, pitch=A#1, duration=2, instrument=cello
Note: beat=41, position=9, pitch=C2, duration=6, instrument=cello
Note: beat=62, position=9, pitch=A#2, duration=3, instrument=cello
Note: beat=71, position=9, pitch=F2, duration=6, instrument=cello
Note: beat=58, position=3, pitch=F2, duration=2, instrument=cello
Note: beat=48, position=3, pitch=A3, duration=6, instrument=cello
Note: beat=54, position=9, pitch=A#2, duration=2, instrument=cello
Note: beat=50, position=9, pitch=A#3, duration=2, instrument=cello
Note: beat=39, position=3, pitch=A#3, duration=3, instrument=cello
Note: beat=38, position=0, pitch=A#3, duration=3, instrument=cello
Note: beat=51, position=3, pitch=A#3, duration=2, instrument=cello
Note: beat=58, position=0, pitch=A3, duration=6, instrument=cello
Note: beat=54, position=0, pitch=A#1, duration=6, instrument=cello
Note: beat=45, position=0, pitch=F3, duration=6, instrument=cello
Note: beat=64, position=0, pitch=A3, duration=3, instrument=cello
Note: beat=64, position=0, pitch=A#3, duration=6, instrument=cello
Note: beat=75, position=0, pitch=D2, duration=3, instrument=cello
Note: beat=51, position=3, pitch=C3, duration=3, instrument=cello
Note: beat=49, position=9, pitch=G3, duration=2, instrument=cello
Note: beat=64, position=9, pitch=D2, duration=3, instrument=cello
Note: beat=64, position=9, pitch=F3, duration=2, instrument=cello
Note: beat=67, position=3, pitch=C3, duration=2, instrument=cello
Note: beat=70, position=9, pitch=F2, duration=2, instrument=cello
Note: beat=54, position=0, pitch=D2, duration=3, instrument=cello
Note: beat=63, position=3, pitch=A2, duration=3, instrument=cello
Note: beat=39, position=3, pitch=F2, duration=1, instrument=cello
Note: beat=64, position=9, pitch=A#1, duration=6, instrument=cello
Note: beat=51, position=3, pitch=C3, duration=1, instrument=cello
Note: beat=54, position=9, pitch=D2, duration=3, instrument=cello
Note: beat=52, position=9, pitch=C3, duration=2, instrument=cello
Note: beat=52, position=9, pitch=C2, duration=1, instrument=cello
Note: beat=54, position=0, pitch=A#2, duration=6, instrument=cello
Note: beat=52, position=0, pitch=A#1, duration=3, instrument=cello
Note: beat=59, position=3, pitch=A#2, duration=2, instrument=cello
Note: beat=75, position=9, pitch=A3, duration=1, instrument=cello
Note: beat=68, position=9, pitch=A#2, duration=6, instrument=cello
Note: beat=50, position=9, pitch=A2, duration=2, instrument=cello
Note: beat=54, position=3, pitch=A#2, duration=3, instrument=cello
Note: beat=51, position=3, pitch=F3, duration=6, instrument=cello
Note: beat=70, position=3, pitch=A#1, duration=6, instrument=cello
Note: beat=66, position=3, pitch=D2, duration=6, instrument=cello
Note: beat=65, position=9, pitch=C3, duration=2, instrument=cello
Note: beat=65, position=9, pitch=D3, duration=3, instrument=cello
Note: beat=87, position=9, pitch=A2, duration=6, instrument=cello
Note: beat=65, position=0, pitch=G2, duration=3, instrument=cello
Note: beat=70, position=0, pitch=A#3, duration=2, instrument=cello
Note: beat=70, position=3, pitch=C3, duration=1, instrument=cello
Note: beat=73, position=9, pitch=A#1, duration=6, instrument=cello
Note: beat=65, position=3, pitch=D2, duration=3, instrument=cello
Note: beat=52, position=3, pitch=G3, duration=3, instrument=cello
Note: beat=65, position=3, pitch=F2, duration=3, instrument=cello
Note: beat=76, position=9, pitch=G2, duration=2, instrument=cello
Note: beat=75, position=9, pitch=C2, duration=1, instrument=cello
Note: beat=81, position=3, pitch=C3, duration=3, instrument=cello
Note: beat=48, position=9, pitch=A#2, duration=3, instrument=cello
Note: beat=60, position=0, pitch=A#2, duration=3, instrument=cello
Note: beat=78, position=3, pitch=F3, duration=2, instrument=cello
Note: beat=66, position=0, pitch=A#1, duration=1, instrument=cello
Note: beat=64, position=9, pitch=A2, duration=3, instrument=cello
Note: beat=71, position=9, pitch=A#1, duration=2, instrument=cello
Note: beat=60, position=9, pitch=F3, duration=2, instrument=cello
Note: beat=69, position=9, pitch=D3, duration=1, instrument=cello
Note: beat=61, position=3, pitch=C2, duration=2, instrument=cello
Note: beat=70, position=3, pitch=F3, duration=2, instrument=cello
Note: beat=69, position=9, pitch=F2, duration=1, instrument=cello
Note: beat=49, position=3, pitch=F3, duration=1, instrument=cello
Note: beat=58, position=0, pitch=G2, duration=2, instrument=cello
Note: beat=62, position=9, pitch=C3, duration=3, instrument=cello
Note: beat=62, position=3, pitch=A#2, duration=3, instrument=cello
Note: beat=81, position=9, pitch=G2, duration=2, instrument=cello
Note: beat=81, position=3, pitch=F2, duration=3, instrument=cello
Note: beat=65, position=3, pitch=F3, duration=6, instrument=cello
Note: beat=76, position=3, pitch=G2, duration=3, instrument=cello
Note: beat=78, position=9, pitch=G3, duration=2, instrument=cello
Note: beat=75, position=9, pitch=A#3, duration=2, instrument=cello
Start of song
