Start of song
Instrument: viola
Start of notes
Note: beat=0, position=6, pitch=B3, duration=6, instrument=cello
Note: beat=2, position=0, pitch=E4, duration=6, instrument=cello
Note: beat=1, position=0, pitch=G3, duration=6, instrument=cello
Note: beat=3, position=0, pitch=D4, duration=3, instrument=cello
Note: beat=2, position=6, pitch=D3, duration=6, instrument=cello
Note: beat=3, position=0, pitch=G3, duration=6, instrument=cello
Note: beat=3, position=6, pitch=G3, duration=6, instrument=cello
Note: beat=6, position=6, pitch=E3, duration=6, instrument=cello
Note: beat=6, position=0, pitch=A3, duration=6, instrument=cello
Note: beat=3, position=6, pitch=A3, duration=6, instrument=cello
Note: beat=6, position=0, pitch=A3, duration=12, instrument=cello
Note: beat=6, position=0, pitch=A#2, duration=3, instrument=cello
Note: beat=6, position=6, pitch=G3, duration=6, instrument=cello
Note: beat=9, position=0, pitch=B3, duration=3, instrument=cello
Note: beat=9, position=0, pitch=G3, duration=3, instrument=cello
Note: beat=6, position=6, pitch=C4, duration=6, instrument=cello
Note: beat=10, position=6, pitch=G3, duration=1, instrument=cello
Note: beat=9, position=6, pitch=G3, duration=6, instrument=cello
Note: beat=9, position=0, pitch=G3, duration=6, instrument=cello
Note: beat=9, position=0, pitch=G3, duration=3, instrument=cello
Note: beat=14, position=0, pitch=G3, duration=12, instrument=cello
Note: beat=10, position=0, pitch=C4, duration=6, instrument=cello
Note: beat=12, position=6, pitch=D#3, duration=6, instrument=cello
Note: beat=14, position=0, pitch=C3, duration=6, instrument=cello
Note: beat=13, position=6, pitch=D3, duration=6, instrument=cello
Note: beat=11, position=6, pitch=C3, duration=12, instrument=cello
Note: beat=13, position=0, pitch=F3, duration=3, instrument=cello
Note: beat=16, position=0, pitch=D#3, duration=6, instrument=cello
Note: beat=14, position=6, pitch=F2, duration=6, instrument=cello
Note: beat=11, position=0, pitch=A2, duration=6, instrument=cello
Note: beat=18, position=6, pitch=A3, duration=1, instrument=cello
Note: beat=23, position=0, pitch=A3, duration=1, instrument=cello
Note: beat=18, position=0, pitch=F3, duration=6, instrument=cello
Note: beat=14, position=0, pitch=F3, duration=6, instrument=cello
Note: beat=16, position=0, pitch=F3, duration=12, instrument=cello
Note: beat=16, position=0, pitch=G3, duration=6, instrument=cello
Note: beat=20, position=0, pitch=A#3, duration=6, instrument=cello
Note: beat=22, position=6, pitch=D#3, duration=6, instrument=cello
Note: beat=15, position=0, pitch=A#2, duration=1, instrument=cello
Note: beat=21, position=0, pitch=A#1, duration=12, instrument=cello
Note: beat=17, position=0, pitch=C3, duration=6, instrument=cello
Note: beat=22, position=0, pitch=A3, duration=6, instrument=cello
Note: beat=27, position=0, pitch=A#2, duration=6, instrument=cello
Note: beat=25, position=0, pitch=F2, duration=12, instrument=cello
Note: beat=20, position=6, pitch=F2, duration=6, instrument=cello
Note: beat=17, position=6, pitch=A#2, duration=6, instrument=cello
Note: beat=23, position=6, pitch=A#2, duration=1, instrument=cello
Note: beat=23, position=0, pitch=A#2, duration=6, instrument=cello
Note: beat=29, position=0, pitch=D3, duration=3, instrument=cello
Note: beat=21, position=0, pitch=F3, duration=3, instrument=cello
Note: beat=21, position=0, pitch=A#3, duration=3, instrument=cello
Note: beat=35, position=6, pitch=D3, duration=6, instrument=cello
Note: beat=24, position=6, pitch=D#2, duration=3, instrument=cello
Note: beat=25, position=0, pitch=D4, duration=6, instrument=cello
Note: beat=22, position=6, pitch=C4, duration=3, instrument=cello
Note: beat=41, position=0, pitch=A#2, duration=3, instrument=cello
Note: beat=21, position=0, pitch=A#3, duration=3, instrument=cello
Note: beat=28, position=0, pitch=F2, duration=6, instrument=cello
Note: beat=25, position=0, pitch=G3, duration=3, instrument=cello
Note: beat=32, position=0, pitch=C3, duration=6, instrument=cello
Note: beat=24, position=0, pitch=F3, duration=3, instrument=cello
Note: beat=32, position=0, pitch=G3, duration=3, instrument=cello
Note: beat=34, position=6, pitch=C3, duration=6, instrument=cello
Note: beat=27, position=6, pitch=G3, duration=3, instrument=cello
Note: beat=25, position=0, pitch=D3, duration=3, instrument=cello
Note: beat=36, position=0, pitch=A3, duration=3, instrument=cello
Note: beat=26, position=0, pitch=F3, duration=6, instrument=cello
Note: beat=46, position=0, pitch=F3, duration=3, instrument=cello
Note: beat=26, position=6, pitch=A#3, duration=3, instrument=cello
Note: beat=36, position=6, pitch=F3, duration=6, instrument=cello
Note: beat=35, position=0, pitch=D#3, duration=3, instrument=cello
Note: beat=26, position=6, pitch=A2, duration=6, instrument=cello
Note: beat=37, position=0, pitch=D3, duration=6, instrument=cello
Note: beat=29, position=0, pitch=C4, duration=6, instrument=cello
Note: beat=47, position=6, pitch=D#3, duration=12, instrument=cello
Note: beat=37, position=6, pitch=C3, duration=6, instrument=cello
Note: beat=38, position=6, pitch=G3, duration=3, instrument=cello
Note: beat=30, position=6, pitch=D#3, duration=3, instrument=cello
Note: beat=50, position=6, pitch=A3, duration=6, instrument=cello
Note: beat=41, position=0, pitch=D#3, duration=6, instrument=cello
Note: beat=29, position=0, pitch=F2, duration=12, instrument=cello
Note: beat=39, position=6, pitch=D#3, duration=6, instrument=cello
Note: beat=36, position=6, pitch=C4, duration=6, instrument=cello
Note: beat=55, position=0, pitch=A3, duration=12, instrument=cello
Note: beat=43, position=0, pitch=D3, duration=6, instrument=cello
Note: beat=42, position=0, pitch=D3, duration=6, instrument=cello
Note: beat=44, position=0, pitch=C2, duration=6, instrument=cello
Note: beat=35, position=6, pitch=A#3, duration=12, instrument=cello
Note: beat=51, position=6, pitch=A#3, duration=12, instrument=cello
Note: beat=35, position=6, pitch=G2, duration=3, instrument=cello
Note: beat=45, position=0, pitch=D#2, duration=1, instrument=cello
Note: beat=49, position=6, pitch=F3, duration=3, instrument=cello
Note: beat=55, position=0, pitch=C2, duration=3, instrument=cello
Note: beat=53, position=0, pitch=A#2, duration=3, instrument=cello
Note: beat=37, position=0, pitch=A#2, duration=6, instrument=cello
Note: beat=36, position=0, pitch=A#3, duration=3, instrument=cello
Note: beat=39, position=0, pitch=F2, duration=12, instrument=cello
Note: beat=49, position=0, pitch=C3, duration=6, instrument=cello
Note: beat=36, position=0, pitch=G2, duration=3, instrument=cello
Note: beat=55, position=0, pitch=A#2, duration=12, instrument=cello
Note: beat=54, position=0, pitch=D2, duration=12, instrument=cello
Note: beat=56, position=6, pitch=F3, duration=3, instrument=cello
Note: beat=49, position=0, pitch=D#3, duration=6, instrument=cello
Note: beat=50, position=0, pitch=A#3, duration=6, instrument=cello
Note: beat=60, position=6, pitch=C2, duration=6, instrument=cello
Note: beat=43, position=0, pitch=D#2, duration=12, instrument=cello
Note: beat=43, position=6, pitch=C3, duration=6, instrument=cello
Note: beat=57, position=0, pitch=D3, duration=6, instrument=cello
Note: beat=62, position=6, pitch=A#3, duration=3, instrument=cello
Note: beat=42, position=0, pitch=F2, duration=3, instrument=cello
Note: beat=59, position=0, pitch=D3, duration=6, instrument=cello
Note: beat=56, position=0, pitch=D2, duration=3, instrument=cello
Note: beat=52, position=6, pitch=D2, duration=12, instrument=cello
Note: beat=43, position=0, pitch=F2, duration=6, instrument=cello
Note: beat=45, position=6, pitch=C3, duration=6, instrument=cello
Note: beat=54, position=6, pitch=C3, duration=6, instrument=cello
Note: beat=56, position=6, pitch=A#2, duration=3, instrument=cello
Note: beat=65, position=0, pitch=A#1, duration=6, instrument=cello
Note: beat=67, position=0, pitch=A#2, duration=3, instrument=cello
Note: beat=46, position=0, pitch=G2, duration=3, instrument=cello
Note: beat=55, position=6, pitch=C2, duration=3, instrument=cello
Note: beat=51, position=0, pitch=D3, duration=6, instrument=cello
Note: beat=69, position=0, pitch=C3, duration=1, instrument=cello
Note: beat=49, position=6, pitch=G3, duration=6, instrument=cello
Note: beat=57, position=0, pitch=A#2, duration=6, instrument=cello
Note: beat=65, position=0, pitch=G3, duration=6, instrument=cello
Note: beat=58, position=6, pitch=C3, duration=1, instrument=cello
Note: beat=62, position=6, pitch=A#3, duration=6, instrument=cello
Note: beat=61, position=6, pitch=A#3, duration=6, instrument=cello
Note: beat=56, position=0, pitch=C3, duration=12, instrument=cello
Note: beat=65, position=6, pitch=F2, duration=12, instrument=cello
Note: beat=69, position=0, pitch=D2, duration=12, instrument=cello
Note: beat=77, position=0, pitch=D3, duration=6, instrument=cello
Note: beat=66, position=0, pitch=C2, duration=3, instrument=cello
Note: beat=68, position=6, pitch=C3, duration=6, instrument=cello
Note: beat=63, position=0, pitch=C3, duration=12, instrument=cello
Note: beat=67, position=0, pitch=G2, duration=3, instrument=cello
Note: beat=74, position=0, pitch=G3, duration=6, instrument=cello
Note: beat=69, position=0, pitch=C4, duration=12, instrument=cello
Note: beat=80, position=0, pitch=A#3, duration=3, instrument=cello
Note: beat=68, position=0, pitch=D#2, duration=6, instrument=cello
Note: beat=79, position=0, pitch=D3, duration=3, instrument=cello
Note: beat=68, position=6, pitch=C3, duration=3, instrument=cello
Note: beat=74, position=0, pitch=G2, duration=3, instrument=cello
Note: beat=72, position=6, pitch=G2, duration=6, instrument=cello
Note: beat=59, position=0, pitch=F2, duration=3, instrument=cello
Note: beat=68, position=0, pitch=A3, duration=6, instrument=cello
Note: beat=62, position=6, pitch=C3, duration=1, instrument=cello
Note: beat=64, position=0, pitch=C3, duration=6, instrument=cello
Note: beat=59, position=0, pitch=D2, duration=5, instrument=cello
Note: beat=69, position=6, pitch=G3, duration=6, instrument=cello
Note: beat=75, position=0, pitch=G2, duration=12, instrument=cello
Note: beat=61, position=0, pitch=F3, duration=6, instrument=cello
Note: beat=64, position=0, pitch=D2, duration=3, instrument=cello
Note: beat=72, position=6, pitch=A#2, duration=3, instrument=cello
Note: beat=63, position=0, pitch=A#2, duration=6, instrument=cello
Note: beat=82, position=0, pitch=G3, duration=6, instrument=cello
Note: beat=60, position=0, pitch=C3, duration=6, instrument=cello
Note: beat=63, position=6, pitch=A#2, duration=5, instrument=cello
Note: beat=77, position=6, pitch=D3, duration=12, instrument=cello
Note: beat=64, position=0, pitch=A#2, duration=6, instrument=cello
Note: beat=80, position=6, pitch=D#3, duration=6, instrument=cello
Note: beat=70, position=6, pitch=F3, duration=6, instrument=cello
Note: beat=85, position=6, pitch=F3, duration=6, instrument=cello
Note: beat=83, position=6, pitch=G2, duration=3, instrument=cello
Note: beat=96, position=0, pitch=A3, duration=6, instrument=cello
Note: beat=85, position=0, pitch=G3, duration=6, instrument=cello
Note: beat=76, position=6, pitch=A#2, duration=6, instrument=cello
Note: beat=72, position=0, pitch=D#3, duration=6, instrument=cello
Note: beat=85, position=0, pitch=C3, duration=6, instrument=cello
Note: beat=78, position=6, pitch=G2, duration=6, instrument=cello
Note: beat=83, position=0, pitch=G3, duration=6, instrument=cello
Note: beat=105, position=6, pitch=C3, duration=3, instrument=cello
Note: beat=80, position=6, pitch=C3, duration=3, instrument=cello
Note: beat=76, position=0, pitch=D#3, duration=6, instrument=cello
Note: beat=78, position=6, pitch=D3, duration=6, instrument=cello
Note: beat=104, position=0, pitch=A3, duration=12, instrument=cello
Note: beat=90, position=6, pitch=D3, duration=12, instrument=cello
Note: beat=83, position=6, pitch=A#3, duration=6, instrument=cello
Note: beat=105, position=6, pitch=A#3, duration=6, instrument=cello
Note: beat=80, position=6, pitch=A2, duration=6, instrument=cello
