Start of song
Instrument: viola
Start of notes
Note: beat=0, position=6, pitch=D4, duration=6, instrument=viola
Note: beat=1, position=0, pitch=G3, duration=6, instrument=viola
Note: beat=1, position=6, pitch=G4, duration=6, instrument=viola
Note: beat=2, position=0, pitch=G4, duration=12, instrument=viola
Note: beat=3, position=0, pitch=F#4, duration=6, instrument=viola
Note: beat=3, position=6, pitch=G4, duration=1, instrument=viola
Note: beat=3, position=6, pitch=A4, duration=1, instrument=viola
Note: beat=3, position=6, pitch=A#4, duration=6, instrument=viola
Note: beat=4, position=0, pitch=A4, duration=6, instrument=viola
Note: beat=4, position=6, pitch=G4, duration=6, instrument=viola
Note: beat=5, position=0, pitch=A4, duration=6, instrument=viola
Note: beat=5, position=0, pitch=A#4, duration=1, instrument=viola
Note: beat=5, position=6, pitch=G4, duration=3, instrument=viola
Note: beat=5, position=9, pitch=F#4, duration=3, instrument=viola
Note: beat=6, position=0, pitch=G4, duration=12, instrument=viola
Note: beat=7, position=6, pitch=A#3, duration=6, instrument=viola
Note: beat=8, position=0, pitch=A#3, duration=12, instrument=viola
Note: beat=9, position=0, pitch=A3, duration=6, instrument=viola
Note: beat=9, position=6, pitch=A#3, duration=1, instrument=viola
Note: beat=9, position=6, pitch=C4, duration=1, instrument=viola
Note: beat=9, position=6, pitch=D4, duration=6, instrument=viola
Note: beat=10, position=0, pitch=C4, duration=6, instrument=viola
Note: beat=10, position=6, pitch=A#3, duration=6, instrument=viola
Note: beat=11, position=0, pitch=C4, duration=6, instrument=viola
Note: beat=11, position=0, pitch=D4, duration=1, instrument=viola
Note: beat=11, position=6, pitch=A#3, duration=3, instrument=viola
Note: beat=11, position=9, pitch=A3, duration=3, instrument=viola
Note: beat=12, position=0, pitch=A#3, duration=3, instrument=viola
Note: beat=12, position=3, pitch=D4, duration=3, instrument=viola
Note: beat=12, position=6, pitch=C4, duration=3, instrument=viola
Note: beat=12, position=9, pitch=A#3, duration=3, instrument=viola
Note: beat=13, position=0, pitch=D#4, duration=6, instrument=viola
Note: beat=13, position=6, pitch=D4, duration=6, instrument=viola
Note: beat=14, position=0, pitch=C4, duration=6, instrument=viola
Note: beat=14, position=6, pitch=F3, duration=6, instrument=viola
Note: beat=15, position=0, pitch=F4, duration=12, instrument=viola
Note: beat=17, position=0, pitch=F4, duration=12, instrument=viola
Note: beat=19, position=0, pitch=F4, duration=12, instrument=viola
Note: beat=20, position=6, pitch=F4, duration=6, instrument=viola
Note: beat=21, position=0, pitch=G4, duration=3, instrument=viola
Note: beat=21, position=3, pitch=A4, duration=3, instrument=viola
Note: beat=21, position=6, pitch=A#4, duration=3, instrument=viola
Note: beat=21, position=9, pitch=G4, duration=3, instrument=viola
Note: beat=22, position=0, pitch=A#4, duration=3, instrument=viola
Note: beat=22, position=3, pitch=A4, duration=3, instrument=viola
Note: beat=22, position=6, pitch=G4, duration=3, instrument=viola
Note: beat=22, position=9, pitch=F4, duration=3, instrument=viola
Note: beat=23, position=0, pitch=G4, duration=3, instrument=viola
Note: beat=23, position=3, pitch=A4, duration=3, instrument=viola
Note: beat=23, position=6, pitch=A#4, duration=3, instrument=viola
Note: beat=23, position=9, pitch=G4, duration=3, instrument=viola
Note: beat=24, position=0, pitch=A#4, duration=3, instrument=viola
Note: beat=24, position=3, pitch=A4, duration=3, instrument=viola
Note: beat=24, position=6, pitch=G4, duration=3, instrument=viola
Note: beat=24, position=9, pitch=F4, duration=3, instrument=viola
Note: beat=25, position=0, pitch=G4, duration=3, instrument=viola
Note: beat=25, position=3, pitch=A4, duration=3, instrument=viola
Note: beat=25, position=6, pitch=A#4, duration=3, instrument=viola
Note: beat=25, position=9, pitch=G4, duration=3, instrument=viola
