Start of song
Instrument: harpsichord
Start of notes
Note: beat=0, position=3, pitch=D3, duration=2, instrument=recorder
Note: beat=0, position=6, pitch=F3, duration=3, instrument=recorder
Note: beat=0, position=6, pitch=F4, duration=6, instrument=recorder
Note: beat=0, position=3, pitch=F4, duration=6, instrument=recorder
Note: beat=2, position=6, pitch=F5, duration=3, instrument=recorder
Note: beat=2, position=6, pitch=C5, duration=3, instrument=recorder
Note: beat=4, position=0, pitch=A#3, duration=3, instrument=recorder
Note: beat=2, position=0, pitch=F4, duration=3, instrument=recorder
Note: beat=1, position=9, pitch=C3, duration=3, instrument=recorder
Note: beat=2, position=0, pitch=C3, duration=3, instrument=recorder
Note: beat=2, position=9, pitch=C4, duration=3, instrument=recorder
Note: beat=2, position=3, pitch=F4, duration=3, instrument=recorder
Note: beat=3, position=3, pitch=F4, duration=3, instrument=recorder
Note: beat=3, position=6, pitch=A#2, duration=3, instrument=recorder
Note: beat=5, position=6, pitch=F4, duration=3, instrument=recorder
Note: beat=3, position=3, pitch=A#4, duration=3, instrument=recorder
Note: beat=8, position=3, pitch=D5, duration=3, instrument=recorder
Note: beat=6, position=3, pitch=D#4, duration=1, instrument=recorder
Note: beat=5, position=9, pitch=A#2, duration=1, instrument=recorder
Note: beat=7, position=3, pitch=F4, duration=3, instrument=recorder
Note: beat=3, position=3, pitch=D#5, duration=3, instrument=recorder
Note: beat=2, position=3, pitch=D5, duration=3, instrument=recorder
Note: beat=4, position=3, pitch=F4, duration=3, instrument=recorder
Note: beat=2, position=3, pitch=G4, duration=3, instrument=recorder
Note: beat=4, position=3, pitch=G3, duration=3, instrument=recorder
Note: beat=5, position=9, pitch=F3, duration=3, instrument=recorder
Note: beat=7, position=3, pitch=D4, duration=3, instrument=recorder
Note: beat=9, position=3, pitch=D#5, duration=3, instrument=recorder
Note: beat=5, position=9, pitch=A4, duration=3, instrument=recorder
Note: beat=9, position=3, pitch=G4, duration=6, instrument=recorder
Note: beat=8, position=3, pitch=A#3, duration=3, instrument=recorder
Note: beat=7, position=3, pitch=C5, duration=3, instrument=recorder
Note: beat=25, position=3, pitch=A4, duration=3, instrument=recorder
Note: beat=17, position=9, pitch=C4, duration=3, instrument=recorder
Note: beat=5, position=3, pitch=A4, duration=3, instrument=recorder
Note: beat=8, position=9, pitch=D5, duration=2, instrument=recorder
Note: beat=7, position=0, pitch=C4, duration=3, instrument=recorder
Note: beat=17, position=6, pitch=F4, duration=3, instrument=recorder
Note: beat=10, position=0, pitch=F5, duration=3, instrument=recorder
Note: beat=19, position=3, pitch=F5, duration=3, instrument=recorder
Note: beat=13, position=0, pitch=F4, duration=3, instrument=recorder
Note: beat=12, position=6, pitch=A4, duration=3, instrument=recorder
Note: beat=24, position=3, pitch=D5, duration=3, instrument=recorder
Note: beat=13, position=9, pitch=G3, duration=3, instrument=recorder
Note: beat=9, position=6, pitch=A#4, duration=3, instrument=recorder
Note: beat=8, position=0, pitch=F4, duration=3, instrument=recorder
Note: beat=12, position=9, pitch=G3, duration=3, instrument=recorder
Note: beat=24, position=6, pitch=G4, duration=3, instrument=recorder
Note: beat=9, position=3, pitch=F3, duration=2, instrument=recorder
Note: beat=10, position=6, pitch=F4, duration=6, instrument=recorder
Note: beat=14, position=0, pitch=F3, duration=6, instrument=recorder
Note: beat=16, position=6, pitch=C5, duration=6, instrument=recorder
Note: beat=25, position=0, pitch=F4, duration=3, instrument=recorder
Note: beat=17, position=6, pitch=A4, duration=3, instrument=recorder
Note: beat=13, position=3, pitch=G4, duration=1, instrument=recorder
Note: beat=10, position=6, pitch=C3, duration=2, instrument=recorder
Note: beat=14, position=6, pitch=A#4, duration=3, instrument=recorder
Note: beat=25, position=9, pitch=G4, duration=3, instrument=recorder
