Start of song
Instrument: recorder
Start of notes
Note: beat=0, position=0, pitch=G3, duration=6, instrument=harp
Note: beat=0, position=0, pitch=A#4, duration=6, instrument=harp
Note: beat=1, position=0, pitch=F5, duration=3, instrument=harp
Note: beat=2, position=9, pitch=E4, duration=3, instrument=harp
Note: beat=2, position=6, pitch=E3, duration=3, instrument=harp
Note: beat=2, position=6, pitch=E4, duration=6, instrument=harp
Note: beat=2, position=6, pitch=D5, duration=6, instrument=harp
Note: beat=3, position=6, pitch=A4, duration=6, instrument=harp
Note: beat=5, position=6, pitch=G3, duration=6, instrument=harp
Note: beat=1, position=0, pitch=E4, duration=3, instrument=harp
Note: beat=2, position=6, pitch=E4, duration=3, instrument=harp
Note: beat=4, position=6, pitch=A4, duration=3, instrument=harp
Note: beat=3, position=0, pitch=E4, duration=3, instrument=harp
Note: beat=5, position=6, pitch=C5, duration=6, instrument=harp
Note: beat=4, position=6, pitch=C5, duration=6, instrument=harp
Note: beat=4, position=6, pitch=G4, duration=6, instrument=harp
Note: beat=5, position=6, pitch=F5, duration=3, instrument=harp
Note: beat=10, position=0, pitch=E5, duration=3, instrument=harp
Note: beat=4, position=6, pitch=F4, duration=1, instrument=harp
Note: beat=7, position=0, pitch=G4, duration=6, instrument=harp
Note: beat=4, position=6, pitch=A4, duration=6, instrument=harp
Note: beat=7, position=6, pitch=E4, duration=3, instrument=harp
Note: beat=7, position=0, pitch=E4, duration=3, instrument=harp
Note: beat=4, position=0, pitch=G4, duration=6, instrument=harp
Note: beat=9, position=6, pitch=E4, duration=3, instrument=harp
Note: beat=8, position=6, pitch=E3, duration=3, instrument=harp
Note: beat=5, position=6, pitch=E3, duration=3, instrument=harp
Note: beat=8, position=0, pitch=C5, duration=3, instrument=harp
Note: beat=9, position=6, pitch=C5, duration=1, instrument=harp
Note: beat=9, position=0, pitch=G5, duration=3, instrument=harp
Note: beat=17, position=6, pitch=E5, duration=1, instrument=harp
Note: beat=7, position=6, pitch=D4, duration=6, instrument=harp
Note: beat=10, position=6, pitch=F4, duration=3, instrument=harp
Note: beat=23, position=0, pitch=G5, duration=3, instrument=harp
Note: beat=14, position=6, pitch=A4, duration=3, instrument=harp
Note: beat=25, position=0, pitch=G4, duration=3, instrument=harp
Note: beat=12, position=0, pitch=A#4, duration=2, instrument=harp
Note: beat=5, position=0, pitch=A#4, duration=3, instrument=harp
Note: beat=15, position=6, pitch=F4, duration=3, instrument=harp
Note: beat=10, position=6, pitch=A#4, duration=3, instrument=harp
Note: beat=11, position=0, pitch=D4, duration=1, instrument=harp
Note: beat=8, position=6, pitch=A4, duration=3, instrument=harp
Note: beat=10, position=0, pitch=E4, duration=6, instrument=harp
Note: beat=11, position=0, pitch=C5, duration=6, instrument=harp
Note: beat=11, position=6, pitch=G4, duration=6, instrument=harp
Note: beat=14, position=6, pitch=F5, duration=6, instrument=harp
Note: beat=9, position=6, pitch=E5, duration=3, instrument=harp
Note: beat=13, position=6, pitch=A4, duration=2, instrument=harp
Note: beat=10, position=0, pitch=E4, duration=3, instrument=harp
Note: beat=10, position=6, pitch=A4, duration=3, instrument=harp
Note: beat=7, position=6, pitch=D5, duration=3, instrument=harp
Note: beat=13, position=0, pitch=A3, duration=2, instrument=harp
Note: beat=11, position=6, pitch=B4, duration=3, instrument=harp
Note: beat=11, position=0, pitch=C5, duration=1, instrument=harp
Note: beat=9, position=0, pitch=C5, duration=6, instrument=harp
Note: beat=13, position=6, pitch=F4, duration=3, instrument=harp
Note: beat=10, position=0, pitch=F4, duration=2, instrument=harp
Note: beat=13, position=6, pitch=C4, duration=3, instrument=harp
Note: beat=10, position=0, pitch=D5, duration=3, instrument=harp
Note: beat=11, position=6, pitch=E4, duration=3, instrument=harp
Note: beat=15, position=6, pitch=E5, duration=2, instrument=harp
Note: beat=15, position=6, pitch=A4, duration=2, instrument=harp
Note: beat=20, position=6, pitch=D5, duration=3, instrument=harp
Note: beat=13, position=6, pitch=D5, duration=3, instrument=harp
Note: beat=12, position=0, pitch=E5, duration=3, instrument=harp
Note: beat=12, position=0, pitch=F4, duration=3, instrument=harp
Note: beat=11, position=6, pitch=B4, duration=3, instrument=harp
Note: beat=10, position=6, pitch=G4, duration=3, instrument=harp
Note: beat=16, position=0, pitch=D5, duration=3, instrument=harp
Note: beat=9, position=0, pitch=F4, duration=3, instrument=harp
Note: beat=27, position=0, pitch=F4, duration=3, instrument=harp
Note: beat=17, position=0, pitch=E5, duration=6, instrument=harp
Note: beat=13, position=6, pitch=G4, duration=3, instrument=harp
Note: beat=9, position=0, pitch=A4, duration=2, instrument=harp
Note: beat=18, position=6, pitch=F4, duration=2, instrument=harp
Note: beat=23, position=6, pitch=D4, duration=3, instrument=harp
Note: beat=8, position=6, pitch=A4, duration=2, instrument=harp
Note: beat=29, position=6, pitch=G2, duration=3, instrument=harp
Note: beat=28, position=0, pitch=A4, duration=2, instrument=harp
Note: beat=9, position=0, pitch=A4, duration=2, instrument=harp
Note: beat=15, position=6, pitch=C5, duration=3, instrument=harp
Note: beat=12, position=6, pitch=E5, duration=3, instrument=harp
Note: beat=18, position=6, pitch=G4, duration=3, instrument=harp
Note: beat=12, position=0, pitch=G5, duration=2, instrument=harp
Note: beat=10, position=6, pitch=G2, duration=3, instrument=harp
Note: beat=10, position=0, pitch=G2, duration=1, instrument=harp
Note: beat=20, position=0, pitch=F4, duration=2, instrument=harp
Note: beat=18, position=6, pitch=A4, duration=6, instrument=harp
Note: beat=26, position=0, pitch=D4, duration=6, instrument=harp
Note: beat=16, position=6, pitch=A4, duration=3, instrument=harp
Note: beat=34, position=0, pitch=F5, duration=2, instrument=harp
Note: beat=19, position=0, pitch=A3, duration=3, instrument=harp
Note: beat=14, position=6, pitch=F5, duration=2, instrument=harp
Note: beat=25, position=6, pitch=A3, duration=3, instrument=harp
Note: beat=22, position=6, pitch=D5, duration=1, instrument=harp
Note: beat=25, position=6, pitch=D4, duration=2, instrument=harp
Note: beat=21, position=6, pitch=F4, duration=6, instrument=harp
Note: beat=23, position=6, pitch=D4, duration=1, instrument=harp
Note: beat=17, position=6, pitch=E4, duration=3, instrument=harp
Note: beat=18, position=6, pitch=A4, duration=3, instrument=harp
Note: beat=12, position=6, pitch=E5, duration=6, instrument=harp
Note: beat=30, position=6, pitch=A4, duration=3, instrument=harp
Note: beat=20, position=3, pitch=A4, duration=3, instrument=harp
Note: beat=28, position=0, pitch=G4, duration=3, instrument=harp
Note: beat=18, position=0, pitch=A4, duration=1, instrument=harp
Note: beat=29, position=3, pitch=E4, duration=1, instrument=harp
Note: beat=35, position=0, pitch=F5, duration=3, instrument=harp
Note: beat=27, position=6, pitch=A4, duration=3, instrument=harp
Note: beat=17, position=3, pitch=D5, duration=6, instrument=harp
Note: beat=20, position=0, pitch=F5, duration=3, instrument=harp
Note: beat=21, position=6, pitch=C4, duration=1, instrument=harp
Note: beat=32, position=3, pitch=C4, duration=3, instrument=harp
Note: beat=21, position=0, pitch=E5, duration=1, instrument=harp
Note: beat=24, position=3, pitch=D4, duration=2, instrument=harp
Note: beat=38, position=3, pitch=E4, duration=3, instrument=harp
Note: beat=22, position=0, pitch=F4, duration=2, instrument=harp
Note: beat=18, position=6, pitch=F4, duration=6, instrument=harp
Note: beat=41, position=9, pitch=B4, duration=2, instrument=harp
Note: beat=30, position=6, pitch=A3, duration=1, instrument=harp
Note: beat=39, position=0, pitch=C5, duration=6, instrument=harp
Note: beat=20, position=3, pitch=F4, duration=3, instrument=harp
Note: beat=23, position=3, pitch=D5, duration=2, instrument=harp
Note: beat=27, position=6, pitch=D5, duration=3, instrument=harp
Note: beat=32, position=9, pitch=A4, duration=6, instrument=harp
Note: beat=43, position=6, pitch=D5, duration=2, instrument=harp
Note: beat=32, position=0, pitch=E4, duration=3, instrument=harp
Note: beat=34, position=6, pitch=E5, duration=3, instrument=harp
Note: beat=39, position=0, pitch=G4, duration=3, instrument=harp
Note: beat=26, position=0, pitch=G5, duration=3, instrument=harp
Note: beat=39, position=3, pitch=B4, duration=3, instrument=harp
Note: beat=29, position=6, pitch=G5, duration=6, instrument=harp
Note: beat=30, position=0, pitch=F4, duration=6, instrument=harp
Note: beat=34, position=3, pitch=C5, duration=1, instrument=harp
Note: beat=38, position=0, pitch=G4, duration=1, instrument=harp
Note: beat=37, position=6, pitch=A4, duration=3, instrument=harp
Note: beat=25, position=0, pitch=G4, duration=3, instrument=harp
Note: beat=41, position=0, pitch=F4, duration=3, instrument=harp
Note: beat=28, position=6, pitch=C5, duration=2, instrument=harp
Note: beat=32, position=0, pitch=F4, duration=1, instrument=harp
