Start of song
Instrument: recorder
Start of notes
Note: beat=0, position=0, pitch=C5, duration=6, instrument=recorder
Note: beat=0, position=6, pitch=F5, duration=6, instrument=recorder
Note: beat=1, position=0, pitch=D5, duration=3, instrument=recorder
Note: beat=1, position=3, pitch=E5, duration=1, instrument=recorder
Note: beat=1, position=4, pitch=F5, duration=2, instrument=recorder
Note: beat=1, position=6, pitch=G5, duration=3, instrument=recorder
Note: beat=1, position=9, pitch=F5, duration=3, instrument=recorder
Note: beat=2, position=0, pitch=E5, duration=3, instrument=recorder
Note: beat=2, position=3, pitch=C5, duration=3, instrument=recorder
Note: beat=2, position=6, pitch=A5, duration=3, instrument=recorder
Note: beat=2, position=9, pitch=C5, duration=3, instrument=recorder
Note: beat=3, position=0, pitch=D5, duration=3, instrument=recorder
Note: beat=3, position=3, pitch=A#4, duration=3, instrument=recorder
Note: beat=3, position=6, pitch=G5, duration=3, instrument=recorder
Note: beat=3, position=9, pitch=A#4, duration=3, instrument=recorder
Note: beat=4, position=0, pitch=C5, duration=3, instrument=recorder
Note: beat=4, position=3, pitch=A4, duration=3, instrument=recorder
Note: beat=4, position=6, pitch=F5, duration=3, instrument=recorder
Note: beat=4, position=9, pitch=A4, duration=3, instrument=recorder
Note: beat=5, position=0, pitch=A#4, duration=3, instrument=recorder
Note: beat=5, position=3, pitch=G4, duration=3, instrument=recorder
Note: beat=5, position=6, pitch=E5, duration=3, instrument=recorder
Note: beat=5, position=9, pitch=G4, duration=3, instrument=recorder
Note: beat=6, position=0, pitch=A4, duration=3, instrument=recorder
Note: beat=6, position=3, pitch=F5, duration=3, instrument=recorder
Note: beat=6, position=6, pitch=G4, duration=3, instrument=recorder
Note: beat=6, position=9, pitch=E5, duration=3, instrument=recorder
Note: beat=7, position=0, pitch=F4, duration=3, instrument=recorder
Note: beat=7, position=3, pitch=F5, duration=3, instrument=recorder
Note: beat=7, position=6, pitch=E5, duration=3, instrument=recorder
Note: beat=7, position=9, pitch=C5, duration=3, instrument=recorder
Note: beat=8, position=0, pitch=F5, duration=6, instrument=recorder
Note: beat=8, position=6, pitch=F6, duration=6, instrument=recorder
Note: beat=9, position=3, pitch=E6, duration=1, instrument=recorder
Note: beat=9, position=4, pitch=D6, duration=2, instrument=recorder
Note: beat=9, position=6, pitch=C6, duration=3, instrument=recorder
Note: beat=9, position=9, pitch=D6, duration=1, instrument=recorder
Note: beat=9, position=10, pitch=E6, duration=2, instrument=recorder
Note: beat=10, position=0, pitch=F5, duration=3, instrument=recorder
Note: beat=10, position=3, pitch=D6, duration=1, instrument=recorder
Note: beat=10, position=4, pitch=C6, duration=2, instrument=recorder
Note: beat=10, position=6, pitch=B5, duration=3, instrument=recorder
Note: beat=10, position=9, pitch=C6, duration=1, instrument=recorder
Note: beat=10, position=10, pitch=D6, duration=2, instrument=recorder
Note: beat=11, position=0, pitch=E5, duration=3, instrument=recorder
Note: beat=11, position=3, pitch=C6, duration=1, instrument=recorder
Note: beat=11, position=4, pitch=B5, duration=2, instrument=recorder
Note: beat=11, position=6, pitch=A5, duration=3, instrument=recorder
Note: beat=11, position=9, pitch=B5, duration=1, instrument=recorder
Note: beat=11, position=10, pitch=C6, duration=2, instrument=recorder
Note: beat=12, position=0, pitch=D5, duration=3, instrument=recorder
Note: beat=12, position=3, pitch=B5, duration=1, instrument=recorder
Note: beat=12, position=4, pitch=A5, duration=2, instrument=recorder
Note: beat=12, position=6, pitch=G5, duration=3, instrument=recorder
Note: beat=12, position=9, pitch=A5, duration=1, instrument=recorder
Note: beat=12, position=10, pitch=B5, duration=2, instrument=recorder
Note: beat=13, position=0, pitch=C5, duration=3, instrument=recorder
Note: beat=13, position=3, pitch=D5, duration=1, instrument=recorder
Note: beat=13, position=4, pitch=E5, duration=2, instrument=recorder
Note: beat=13, position=6, pitch=F5, duration=3, instrument=recorder
Note: beat=13, position=9, pitch=E5, duration=1, instrument=recorder
Note: beat=13, position=10, pitch=D5, duration=2, instrument=recorder
Note: beat=14, position=0, pitch=E5, duration=6, instrument=recorder
Note: beat=15, position=2, pitch=C5, duration=1, instrument=recorder
Note: beat=15, position=3, pitch=D5, duration=1, instrument=recorder
Note: beat=15, position=4, pitch=E5, duration=2, instrument=recorder
Note: beat=15, position=6, pitch=F5, duration=2, instrument=recorder
Note: beat=15, position=8, pitch=G5, duration=1, instrument=recorder
Note: beat=15, position=9, pitch=A5, duration=1, instrument=recorder
Note: beat=15, position=10, pitch=B5, duration=2, instrument=recorder
Note: beat=16, position=0, pitch=C6, duration=12, instrument=recorder
Note: beat=17, position=0, pitch=C6, duration=6, instrument=recorder
Note: beat=17, position=6, pitch=B5, duration=6, instrument=recorder
Note: beat=18, position=0, pitch=A#5, duration=6, instrument=recorder
Note: beat=18, position=6, pitch=A5, duration=6, instrument=recorder
Note: beat=19, position=0, pitch=A5, duration=6, instrument=recorder
Note: beat=19, position=6, pitch=G5, duration=6, instrument=recorder
Note: beat=20, position=0, pitch=G5, duration=6, instrument=recorder
Note: beat=20, position=6, pitch=F#5, duration=6, instrument=recorder
Note: beat=21, position=0, pitch=G5, duration=2, instrument=recorder
Note: beat=21, position=2, pitch=E5, duration=1, instrument=recorder
Note: beat=21, position=3, pitch=F5, duration=1, instrument=recorder
Note: beat=21, position=4, pitch=G5, duration=2, instrument=recorder
Note: beat=21, position=6, pitch=A5, duration=2, instrument=recorder
Note: beat=21, position=8, pitch=A4, duration=1, instrument=recorder
Note: beat=21, position=9, pitch=B4, duration=1, instrument=recorder
Note: beat=21, position=10, pitch=C5, duration=2, instrument=recorder
Note: beat=22, position=0, pitch=D5, duration=2, instrument=recorder
Note: beat=22, position=2, pitch=C5, duration=1, instrument=recorder
Note: beat=22, position=3, pitch=D5, duration=1, instrument=recorder
Note: beat=22, position=4, pitch=E5, duration=2, instrument=recorder
Note: beat=22, position=6, pitch=D5, duration=2, instrument=recorder
Note: beat=22, position=8, pitch=E5, duration=1, instrument=recorder
Note: beat=22, position=9, pitch=F5, duration=1, instrument=recorder
Note: beat=22, position=10, pitch=G5, duration=2, instrument=recorder
Note: beat=23, position=0, pitch=C5, duration=6, instrument=recorder
Note: beat=23, position=6, pitch=F5, duration=6, instrument=recorder
Note: beat=24, position=0, pitch=D5, duration=3, instrument=recorder
Note: beat=24, position=3, pitch=E5, duration=1, instrument=recorder
Note: beat=24, position=4, pitch=F5, duration=2, instrument=recorder
Note: beat=24, position=6, pitch=G5, duration=3, instrument=recorder
Note: beat=24, position=9, pitch=F5, duration=3, instrument=recorder
Note: beat=25, position=0, pitch=E5, duration=3, instrument=recorder
Note: beat=25, position=3, pitch=C5, duration=3, instrument=recorder
Note: beat=25, position=6, pitch=A5, duration=3, instrument=recorder
Note: beat=25, position=9, pitch=C5, duration=3, instrument=recorder
Note: beat=26, position=0, pitch=D5, duration=3, instrument=recorder
Note: beat=26, position=3, pitch=A#4, duration=3, instrument=recorder
Note: beat=26, position=6, pitch=G5, duration=3, instrument=recorder
Note: beat=26, position=9, pitch=A#4, duration=3, instrument=recorder
Note: beat=27, position=0, pitch=C5, duration=3, instrument=recorder
Note: beat=27, position=3, pitch=A4, duration=3, instrument=recorder
Note: beat=27, position=6, pitch=F5, duration=3, instrument=recorder
Note: beat=27, position=9, pitch=A4, duration=3, instrument=recorder
Note: beat=28, position=0, pitch=A#4, duration=3, instrument=recorder
Note: beat=28, position=3, pitch=G4, duration=3, instrument=recorder
Note: beat=28, position=6, pitch=E5, duration=3, instrument=recorder
Note: beat=28, position=9, pitch=G4, duration=3, instrument=recorder
Note: beat=29, position=0, pitch=A4, duration=3, instrument=recorder
Note: beat=29, position=3, pitch=F5, duration=3, instrument=recorder
Note: beat=29, position=6, pitch=G4, duration=3, instrument=recorder
Note: beat=29, position=9, pitch=E5, duration=3, instrument=recorder
Note: beat=30, position=0, pitch=F4, duration=3, instrument=recorder
Note: beat=30, position=3, pitch=G4, duration=1, instrument=recorder
Note: beat=30, position=4, pitch=A4, duration=2, instrument=recorder
Note: beat=30, position=6, pitch=A#4, duration=3, instrument=recorder
Note: beat=30, position=9, pitch=A4, duration=1, instrument=recorder
Note: beat=30, position=10, pitch=G4, duration=2, instrument=recorder
Note: beat=31, position=0, pitch=A4, duration=3, instrument=recorder
Note: beat=31, position=3, pitch=A#4, duration=1, instrument=recorder
Note: beat=31, position=4, pitch=C5, duration=2, instrument=recorder
Note: beat=31, position=6, pitch=D5, duration=3, instrument=recorder
Note: beat=31, position=9, pitch=C5, duration=1, instrument=recorder
Note: beat=31, position=10, pitch=A#4, duration=2, instrument=recorder
Note: beat=32, position=0, pitch=C5, duration=3, instrument=recorder
Note: beat=32, position=3, pitch=D5, duration=1, instrument=recorder
Note: beat=32, position=4, pitch=E5, duration=2, instrument=recorder
Note: beat=32, position=6, pitch=F5, duration=3, instrument=recorder
Note: beat=32, position=9, pitch=E5, duration=1, instrument=recorder
Note: beat=32, position=10, pitch=D5, duration=2, instrument=recorder
Note: beat=33, position=0, pitch=E5, duration=3, instrument=recorder
Note: beat=33, position=3, pitch=F5, duration=1, instrument=recorder
Note: beat=33, position=4, pitch=G5, duration=2, instrument=recorder
Note: beat=33, position=6, pitch=A5, duration=3, instrument=recorder
Note: beat=33, position=9, pitch=G5, duration=1, instrument=recorder
Note: beat=33, position=10, pitch=F5, duration=2, instrument=recorder
Note: beat=34, position=0, pitch=G5, duration=3, instrument=recorder
Note: beat=34, position=3, pitch=C5, duration=3, instrument=recorder
Note: beat=35, position=0, pitch=D#5, duration=6, instrument=recorder
Note: beat=36, position=0, pitch=D5, duration=6, instrument=recorder
Note: beat=37, position=0, pitch=F#5, duration=6, instrument=recorder
Note: beat=38, position=3, pitch=G5, duration=3, instrument=recorder
Note: beat=38, position=6, pitch=G5, duration=3, instrument=recorder
Note: beat=38, position=9, pitch=G5, duration=3, instrument=recorder
Note: beat=39, position=0, pitch=E5, duration=2, instrument=recorder
Note: beat=39, position=2, pitch=F5, duration=1, instrument=recorder
Note: beat=39, position=3, pitch=G5, duration=3, instrument=recorder
Note: beat=39, position=6, pitch=G5, duration=3, instrument=recorder
Note: beat=39, position=9, pitch=G5, duration=3, instrument=recorder
Note: beat=40, position=0, pitch=C#5, duration=3, instrument=recorder
Note: beat=40, position=3, pitch=G5, duration=3, instrument=recorder
Note: beat=40, position=6, pitch=G5, duration=3, instrument=recorder
Note: beat=40, position=9, pitch=G5, duration=3, instrument=recorder
Note: beat=41, position=0, pitch=A4, duration=3, instrument=recorder
Note: beat=41, position=3, pitch=A5, duration=1, instrument=recorder
Note: beat=41, position=4, pitch=G5, duration=2, instrument=recorder
Note: beat=41, position=6, pitch=A5, duration=2, instrument=recorder
Note: beat=41, position=8, pitch=G5, duration=1, instrument=recorder
Note: beat=41, position=9, pitch=F5, duration=1, instrument=recorder
Note: beat=41, position=10, pitch=E5, duration=2, instrument=recorder
Note: beat=42, position=0, pitch=F5, duration=2, instrument=recorder
Note: beat=42, position=2, pitch=E5, duration=1, instrument=recorder
Note: beat=42, position=3, pitch=F5, duration=1, instrument=recorder
Note: beat=42, position=4, pitch=G5, duration=2, instrument=recorder
Note: beat=42, position=6, pitch=F5, duration=2, instrument=recorder
Note: beat=42, position=8, pitch=G5, duration=1, instrument=recorder
Note: beat=42, position=9, pitch=E5, duration=1, instrument=recorder
Note: beat=42, position=10, pitch=F5, duration=2, instrument=recorder
Note: beat=43, position=0, pitch=G5, duration=2, instrument=recorder
Note: beat=43, position=2, pitch=F5, duration=1, instrument=recorder
Note: beat=43, position=3, pitch=G5, duration=1, instrument=recorder
Note: beat=43, position=4, pitch=A5, duration=2, instrument=recorder
Note: beat=43, position=6, pitch=G5, duration=2, instrument=recorder
Note: beat=43, position=8, pitch=A5, duration=1, instrument=recorder
Note: beat=43, position=9, pitch=F5, duration=1, instrument=recorder
Note: beat=43, position=10, pitch=G5, duration=2, instrument=recorder
Note: beat=44, position=0, pitch=A5, duration=6, instrument=recorder
Note: beat=44, position=6, pitch=D6, duration=6, instrument=recorder
Note: beat=45, position=0, pitch=B5, duration=3, instrument=recorder
Note: beat=45, position=3, pitch=C6, duration=1, instrument=recorder
Note: beat=45, position=4, pitch=D6, duration=2, instrument=recorder
Note: beat=45, position=6, pitch=E6, duration=3, instrument=recorder
Note: beat=45, position=9, pitch=D6, duration=3, instrument=recorder
Note: beat=46, position=0, pitch=C#6, duration=3, instrument=recorder
Note: beat=46, position=3, pitch=A5, duration=3, instrument=recorder
Note: beat=46, position=6, pitch=F6, duration=3, instrument=recorder
Note: beat=46, position=9, pitch=A5, duration=3, instrument=recorder
Note: beat=47, position=0, pitch=A#5, duration=3, instrument=recorder
Note: beat=47, position=3, pitch=G5, duration=3, instrument=recorder
Note: beat=47, position=6, pitch=E6, duration=3, instrument=recorder
Note: beat=47, position=9, pitch=G5, duration=3, instrument=recorder
Note: beat=48, position=0, pitch=A5, duration=3, instrument=recorder
Note: beat=48, position=3, pitch=F5, duration=3, instrument=recorder
Note: beat=48, position=6, pitch=D6, duration=3, instrument=recorder
Note: beat=48, position=9, pitch=F5, duration=3, instrument=recorder
Note: beat=49, position=0, pitch=G5, duration=3, instrument=recorder
Note: beat=49, position=3, pitch=E5, duration=3, instrument=recorder
Note: beat=49, position=6, pitch=C#6, duration=3, instrument=recorder
Note: beat=49, position=9, pitch=E5, duration=3, instrument=recorder
Note: beat=50, position=0, pitch=F5, duration=3, instrument=recorder
Note: beat=50, position=3, pitch=D6, duration=3, instrument=recorder
Note: beat=50, position=6, pitch=E5, duration=3, instrument=recorder
Note: beat=50, position=9, pitch=C#6, duration=3, instrument=recorder
Note: beat=51, position=0, pitch=D5, duration=3, instrument=recorder
Note: beat=51, position=3, pitch=E5, duration=1, instrument=recorder
Note: beat=51, position=4, pitch=F5, duration=2, instrument=recorder
Note: beat=51, position=6, pitch=G5, duration=3, instrument=recorder
Note: beat=51, position=9, pitch=F5, duration=1, instrument=recorder
Note: beat=51, position=10, pitch=E5, duration=2, instrument=recorder
Note: beat=52, position=0, pitch=F5, duration=3, instrument=recorder
Note: beat=52, position=3, pitch=D6, duration=3, instrument=recorder
Note: beat=52, position=6, pitch=E5, duration=3, instrument=recorder
Note: beat=52, position=9, pitch=C#6, duration=3, instrument=recorder
Note: beat=53, position=0, pitch=D5, duration=3, instrument=recorder
Note: beat=53, position=3, pitch=A#4, duration=3, instrument=recorder
Note: beat=53, position=6, pitch=G4, duration=3, instrument=recorder
Note: beat=53, position=9, pitch=A4, duration=3, instrument=recorder
Note: beat=54, position=0, pitch=D5, duration=2, instrument=recorder
Note: beat=54, position=2, pitch=A5, duration=1, instrument=recorder
Note: beat=54, position=3, pitch=G5, duration=1, instrument=recorder
Note: beat=54, position=4, pitch=A5, duration=2, instrument=recorder
Note: beat=54, position=6, pitch=F5, duration=2, instrument=recorder
Note: beat=54, position=8, pitch=A5, duration=1, instrument=recorder
Note: beat=54, position=9, pitch=G5, duration=1, instrument=recorder
Note: beat=54, position=10, pitch=A5, duration=2, instrument=recorder
Note: beat=55, position=0, pitch=D5, duration=2, instrument=recorder
Note: beat=55, position=2, pitch=A5, duration=1, instrument=recorder
Note: beat=55, position=3, pitch=G5, duration=1, instrument=recorder
Note: beat=55, position=4, pitch=A5, duration=2, instrument=recorder
Note: beat=55, position=6, pitch=F#5, duration=2, instrument=recorder
Note: beat=55, position=8, pitch=A5, duration=1, instrument=recorder
Note: beat=55, position=9, pitch=G5, duration=1, instrument=recorder
Note: beat=55, position=10, pitch=A5, duration=2, instrument=recorder
Note: beat=56, position=0, pitch=C5, duration=2, instrument=recorder
Note: beat=56, position=2, pitch=B4, duration=1, instrument=recorder
Note: beat=56, position=3, pitch=C5, duration=1, instrument=recorder
Note: beat=56, position=4, pitch=D5, duration=2, instrument=recorder
Note: beat=56, position=6, pitch=C5, duration=2, instrument=recorder
Note: beat=56, position=8, pitch=D#5, duration=1, instrument=recorder
Note: beat=56, position=9, pitch=D5, duration=1, instrument=recorder
Note: beat=56, position=10, pitch=C5, duration=2, instrument=recorder
Note: beat=57, position=0, pitch=A#4, duration=6, instrument=recorder
Note: beat=57, position=6, pitch=D5, duration=3, instrument=recorder
Note: beat=58, position=0, pitch=B4, duration=3, instrument=recorder
Note: beat=58, position=6, pitch=G4, duration=3, instrument=recorder
Note: beat=59, position=0, pitch=A4, duration=3, instrument=recorder
Note: beat=59, position=6, pitch=B4, duration=3, instrument=recorder
Note: beat=60, position=0, pitch=C5, duration=6, instrument=recorder
Note: beat=60, position=6, pitch=F5, duration=6, instrument=recorder
Note: beat=61, position=0, pitch=D5, duration=3, instrument=recorder
Note: beat=61, position=3, pitch=E5, duration=1, instrument=recorder
Note: beat=61, position=4, pitch=F5, duration=2, instrument=recorder
Note: beat=61, position=6, pitch=G5, duration=3, instrument=recorder
Note: beat=61, position=9, pitch=F5, duration=3, instrument=recorder
Note: beat=62, position=0, pitch=E5, duration=3, instrument=recorder
Note: beat=62, position=3, pitch=C5, duration=3, instrument=recorder
Note: beat=62, position=6, pitch=D#6, duration=6, instrument=recorder
Note: beat=63, position=3, pitch=D6, duration=1, instrument=recorder
Note: beat=63, position=4, pitch=C6, duration=2, instrument=recorder
Note: beat=63, position=6, pitch=A#5, duration=3, instrument=recorder
Note: beat=63, position=9, pitch=C6, duration=1, instrument=recorder
Note: beat=63, position=10, pitch=D6, duration=2, instrument=recorder
Note: beat=64, position=0, pitch=D#5, duration=3, instrument=recorder
Note: beat=64, position=3, pitch=C6, duration=1, instrument=recorder
Note: beat=64, position=4, pitch=A#5, duration=2, instrument=recorder
Note: beat=64, position=6, pitch=A5, duration=3, instrument=recorder
Note: beat=64, position=9, pitch=A#5, duration=1, instrument=recorder
Note: beat=64, position=10, pitch=C6, duration=2, instrument=recorder
Note: beat=65, position=0, pitch=D5, duration=3, instrument=recorder
Note: beat=65, position=3, pitch=A#5, duration=1, instrument=recorder
Note: beat=65, position=4, pitch=A5, duration=2, instrument=recorder
Note: beat=65, position=6, pitch=G5, duration=3, instrument=recorder
Note: beat=65, position=9, pitch=A5, duration=1, instrument=recorder
Note: beat=65, position=10, pitch=A#5, duration=2, instrument=recorder
Note: beat=66, position=0, pitch=C5, duration=3, instrument=recorder
Note: beat=66, position=3, pitch=A5, duration=1, instrument=recorder
Note: beat=66, position=4, pitch=G5, duration=2, instrument=recorder
Note: beat=66, position=6, pitch=F5, duration=3, instrument=recorder
Note: beat=66, position=9, pitch=G5, duration=1, instrument=recorder
Note: beat=66, position=10, pitch=A5, duration=2, instrument=recorder
Note: beat=67, position=0, pitch=A#4, duration=3, instrument=recorder
