Start of song
Instrument: recorder
Start of notes
Note: beat=0, position=0, pitch=F5, duration=2, instrument=recorder
Note: beat=0, position=2, pitch=G5, duration=1, instrument=recorder
Note: beat=0, position=3, pitch=G5, duration=6, instrument=recorder
Note: beat=0, position=9, pitch=A5, duration=3, instrument=recorder
Note: beat=1, position=6, pitch=A#5, duration=3, instrument=recorder
Note: beat=1, position=9, pitch=G5, duration=6, instrument=recorder
Note: beat=2, position=3, pitch=E5, duration=1, instrument=recorder
Note: beat=2, position=4, pitch=F5, duration=1, instrument=recorder
Note: beat=2, position=5, pitch=G5, duration=1, instrument=recorder
Note: beat=2, position=6, pitch=F5, duration=1, instrument=recorder
Note: beat=2, position=7, pitch=E5, duration=1, instrument=recorder
Note: beat=2, position=8, pitch=C5, duration=1, instrument=recorder
Note: beat=2, position=8, pitch=D5, duration=1, instrument=recorder
Note: beat=2, position=9, pitch=G5, duration=1, instrument=recorder
Note: beat=2, position=10, pitch=C5, duration=2, instrument=recorder
Note: beat=3, position=0, pitch=A4, duration=3, instrument=recorder
Note: beat=3, position=3, pitch=F5, duration=3, instrument=recorder
Note: beat=3, position=6, pitch=A4, duration=3, instrument=recorder
Note: beat=3, position=9, pitch=E5, duration=3, instrument=recorder
Note: beat=4, position=0, pitch=G5, duration=3, instrument=recorder
Note: beat=4, position=3, pitch=E5, duration=3, instrument=recorder
Note: beat=4, position=6, pitch=F5, duration=3, instrument=recorder
Note: beat=4, position=9, pitch=A5, duration=3, instrument=recorder
Note: beat=5, position=0, pitch=G5, duration=3, instrument=recorder
Note: beat=5, position=3, pitch=F5, duration=1, instrument=recorder
Note: beat=5, position=4, pitch=A4, duration=2, instrument=recorder
Note: beat=5, position=6, pitch=A#4, duration=2, instrument=recorder
Note: beat=5, position=8, pitch=G4, duration=1, instrument=recorder
Note: beat=5, position=9, pitch=A4, duration=1, instrument=recorder
Note: beat=5, position=10, pitch=C5, duration=2, instrument=recorder
Note: beat=6, position=0, pitch=F5, duration=2, instrument=recorder
Note: beat=6, position=2, pitch=G5, duration=1, instrument=recorder
Note: beat=6, position=3, pitch=G5, duration=6, instrument=recorder
Note: beat=6, position=9, pitch=A5, duration=3, instrument=recorder
Note: beat=7, position=6, pitch=A#5, duration=3, instrument=recorder
Note: beat=7, position=9, pitch=G5, duration=6, instrument=recorder
Note: beat=8, position=3, pitch=E5, duration=1, instrument=recorder
Note: beat=8, position=4, pitch=F5, duration=1, instrument=recorder
Note: beat=8, position=5, pitch=G5, duration=1, instrument=recorder
Note: beat=8, position=6, pitch=F5, duration=1, instrument=recorder
Note: beat=8, position=7, pitch=E5, duration=1, instrument=recorder
Note: beat=8, position=8, pitch=C5, duration=1, instrument=recorder
Note: beat=8, position=8, pitch=D5, duration=1, instrument=recorder
Note: beat=8, position=9, pitch=G5, duration=1, instrument=recorder
Note: beat=8, position=10, pitch=C5, duration=2, instrument=recorder
Note: beat=9, position=0, pitch=E5, duration=1, instrument=recorder
Note: beat=9, position=1, pitch=F5, duration=1, instrument=recorder
Note: beat=9, position=2, pitch=G5, duration=1, instrument=recorder
Note: beat=9, position=3, pitch=F5, duration=1, instrument=recorder
Note: beat=9, position=4, pitch=G5, duration=1, instrument=recorder
Note: beat=9, position=5, pitch=A5, duration=1, instrument=recorder
Note: beat=9, position=6, pitch=G5, duration=1, instrument=recorder
Note: beat=9, position=7, pitch=A5, duration=1, instrument=recorder
Note: beat=9, position=8, pitch=A#5, duration=1, instrument=recorder
Note: beat=9, position=9, pitch=A5, duration=1, instrument=recorder
Note: beat=9, position=10, pitch=A#5, duration=1, instrument=recorder
Note: beat=9, position=11, pitch=G5, duration=1, instrument=recorder
Note: beat=10, position=0, pitch=A5, duration=1, instrument=recorder
Note: beat=10, position=1, pitch=A#5, duration=1, instrument=recorder
Note: beat=10, position=2, pitch=G5, duration=1, instrument=recorder
Note: beat=10, position=3, pitch=A5, duration=1, instrument=recorder
Note: beat=10, position=4, pitch=G5, duration=1, instrument=recorder
Note: beat=10, position=5, pitch=A5, duration=1, instrument=recorder
Note: beat=10, position=6, pitch=C5, duration=3, instrument=recorder
Note: beat=10, position=9, pitch=D5, duration=3, instrument=recorder
Note: beat=11, position=0, pitch=E5, duration=3, instrument=recorder
Note: beat=11, position=3, pitch=F5, duration=3, instrument=recorder
Note: beat=12, position=0, pitch=E5, duration=1, instrument=recorder
Note: beat=12, position=1, pitch=F5, duration=1, instrument=recorder
Note: beat=12, position=2, pitch=G5, duration=1, instrument=recorder
Note: beat=12, position=3, pitch=F5, duration=1, instrument=recorder
Note: beat=12, position=4, pitch=G5, duration=1, instrument=recorder
Note: beat=12, position=5, pitch=A5, duration=1, instrument=recorder
Note: beat=12, position=6, pitch=D5, duration=1, instrument=recorder
Note: beat=12, position=7, pitch=E5, duration=1, instrument=recorder
Note: beat=12, position=8, pitch=F5, duration=1, instrument=recorder
Note: beat=12, position=9, pitch=E5, duration=1, instrument=recorder
Note: beat=12, position=10, pitch=F5, duration=1, instrument=recorder
Note: beat=12, position=11, pitch=D5, duration=1, instrument=recorder
Note: beat=13, position=0, pitch=E5, duration=1, instrument=recorder
Note: beat=13, position=1, pitch=F5, duration=1, instrument=recorder
Note: beat=13, position=2, pitch=D5, duration=1, instrument=recorder
Note: beat=13, position=3, pitch=E5, duration=1, instrument=recorder
Note: beat=13, position=4, pitch=D5, duration=1, instrument=recorder
Note: beat=13, position=5, pitch=E5, duration=1, instrument=recorder
Note: beat=13, position=6, pitch=F5, duration=3, instrument=recorder
Note: beat=14, position=3, pitch=E5, duration=3, instrument=recorder
Note: beat=15, position=0, pitch=A5, duration=2, instrument=recorder
Note: beat=15, position=2, pitch=G5, duration=1, instrument=recorder
Note: beat=15, position=3, pitch=F5, duration=1, instrument=recorder
Note: beat=15, position=4, pitch=E5, duration=2, instrument=recorder
Note: beat=15, position=6, pitch=D5, duration=2, instrument=recorder
Note: beat=15, position=8, pitch=C5, duration=1, instrument=recorder
Note: beat=15, position=9, pitch=G5, duration=1, instrument=recorder
Note: beat=15, position=10, pitch=F5, duration=2, instrument=recorder
Note: beat=16, position=0, pitch=E5, duration=2, instrument=recorder
Note: beat=16, position=2, pitch=D5, duration=1, instrument=recorder
Note: beat=16, position=3, pitch=C5, duration=1, instrument=recorder
Note: beat=16, position=4, pitch=B4, duration=2, instrument=recorder
Note: beat=16, position=6, pitch=F5, duration=2, instrument=recorder
Note: beat=16, position=8, pitch=E5, duration=1, instrument=recorder
Note: beat=16, position=9, pitch=D5, duration=1, instrument=recorder
Note: beat=16, position=10, pitch=C5, duration=2, instrument=recorder
Note: beat=17, position=0, pitch=F5, duration=2, instrument=recorder
Note: beat=17, position=2, pitch=E5, duration=1, instrument=recorder
Note: beat=17, position=3, pitch=F5, duration=5, instrument=recorder
Note: beat=17, position=8, pitch=D5, duration=1, instrument=recorder
Note: beat=17, position=9, pitch=E5, duration=3, instrument=recorder
Note: beat=18, position=0, pitch=E5, duration=2, instrument=recorder
Note: beat=18, position=2, pitch=F5, duration=1, instrument=recorder
Note: beat=18, position=3, pitch=D5, duration=5, instrument=recorder
Note: beat=18, position=8, pitch=C5, duration=1, instrument=recorder
Note: beat=18, position=9, pitch=C5, duration=1, instrument=recorder
Note: beat=18, position=10, pitch=G5, duration=2, instrument=recorder
Note: beat=19, position=0, pitch=E5, duration=2, instrument=recorder
Note: beat=19, position=2, pitch=G5, duration=1, instrument=recorder
Note: beat=19, position=3, pitch=E5, duration=1, instrument=recorder
Note: beat=19, position=4, pitch=G5, duration=2, instrument=recorder
Note: beat=19, position=6, pitch=C6, duration=2, instrument=recorder
Note: beat=19, position=8, pitch=A5, duration=1, instrument=recorder
Note: beat=19, position=8, pitch=B5, duration=1, instrument=recorder
Note: beat=19, position=9, pitch=G5, duration=1, instrument=recorder
Note: beat=19, position=10, pitch=E5, duration=1, instrument=recorder
Note: beat=19, position=10, pitch=F5, duration=1, instrument=recorder
Note: beat=19, position=11, pitch=D5, duration=1, instrument=recorder
Note: beat=20, position=0, pitch=G5, duration=1, instrument=recorder
Note: beat=20, position=1, pitch=F5, duration=1, instrument=recorder
Note: beat=20, position=2, pitch=D5, duration=1, instrument=recorder
Note: beat=20, position=2, pitch=E5, duration=1, instrument=recorder
Note: beat=20, position=3, pitch=E5, duration=1, instrument=recorder
Note: beat=20, position=4, pitch=G5, duration=2, instrument=recorder
Note: beat=20, position=6, pitch=E5, duration=2, instrument=recorder
Note: beat=20, position=8, pitch=G5, duration=1, instrument=recorder
Note: beat=20, position=9, pitch=E5, duration=1, instrument=recorder
Note: beat=20, position=10, pitch=G5, duration=2, instrument=recorder
Note: beat=21, position=0, pitch=C6, duration=2, instrument=recorder
Note: beat=21, position=2, pitch=C5, duration=1, instrument=recorder
Note: beat=21, position=3, pitch=B4, duration=5, instrument=recorder
Note: beat=21, position=8, pitch=C5, duration=1, instrument=recorder
Note: beat=21, position=9, pitch=C5, duration=9, instrument=recorder
Note: beat=22, position=6, pitch=C5, duration=2, instrument=recorder
Note: beat=22, position=8, pitch=D5, duration=1, instrument=recorder
Note: beat=22, position=9, pitch=D5, duration=6, instrument=recorder
Note: beat=23, position=3, pitch=E5, duration=3, instrument=recorder
Note: beat=24, position=0, pitch=D5, duration=2, instrument=recorder
Note: beat=24, position=2, pitch=E5, duration=1, instrument=recorder
Note: beat=24, position=3, pitch=E5, duration=6, instrument=recorder
