Start of song
Instrument: contrabass
Start of notes
Note: beat=0, position=0, pitch=A#3, duration=6, instrument=bass
Note: beat=0, position=6, pitch=F3, duration=2, instrument=bass
Note: beat=1, position=6, pitch=F5, duration=1, instrument=bass
Note: beat=2, position=0, pitch=C4, duration=3, instrument=bass
Note: beat=1, position=6, pitch=E4, duration=2, instrument=bass
Note: beat=1, position=9, pitch=C5, duration=3, instrument=bass
Note: beat=1, position=0, pitch=F4, duration=2, instrument=bass
Note: beat=1, position=6, pitch=A4, duration=6, instrument=bass
Note: beat=5, position=9, pitch=C4, duration=3, instrument=bass
Note: beat=2, position=0, pitch=E5, duration=3, instrument=bass
Note: beat=3, position=6, pitch=B4, duration=3, instrument=bass
Note: beat=5, position=6, pitch=C5, duration=3, instrument=bass
Note: beat=10, position=0, pitch=G4, duration=1, instrument=bass
Note: beat=2, position=0, pitch=E5, duration=3, instrument=bass
Note: beat=8, position=6, pitch=E5, duration=3, instrument=bass
Note: beat=4, position=3, pitch=G3, duration=3, instrument=bass
Note: beat=3, position=6, pitch=E4, duration=3, instrument=bass
Note: beat=5, position=0, pitch=D5, duration=3, instrument=bass
Note: beat=5, position=3, pitch=A3, duration=2, instrument=bass
Note: beat=2, position=0, pitch=A4, duration=2, instrument=bass
Note: beat=5, position=0, pitch=F5, duration=2, instrument=bass
Note: beat=4, position=0, pitch=A#4, duration=1, instrument=bass
Note: beat=6, position=0, pitch=G4, duration=3, instrument=bass
Note: beat=8, position=0, pitch=G4, duration=3, instrument=bass
Note: beat=7, position=6, pitch=A#4, duration=2, instrument=bass
Note: beat=4, position=0, pitch=F4, duration=2, instrument=bass
Note: beat=7, position=0, pitch=F4, duration=1, instrument=bass
Note: beat=6, position=6, pitch=G4, duration=2, instrument=bass
Note: beat=4, position=3, pitch=D5, duration=3, instrument=bass
Note: beat=10, position=6, pitch=D5, duration=1, instrument=bass
Note: beat=7, position=0, pitch=F4, duration=3, instrument=bass
Note: beat=3, position=3, pitch=B4, duration=3, instrument=bass
Note: beat=5, position=6, pitch=B4, duration=2, instrument=bass
Note: beat=11, position=0, pitch=F5, duration=3, instrument=bass
Note: beat=7, position=6, pitch=D4, duration=3, instrument=bass
Note: beat=6, position=3, pitch=E4, duration=6, instrument=bass
Note: beat=7, position=6, pitch=F5, duration=3, instrument=bass
Note: beat=8, position=6, pitch=F5, duration=3, instrument=bass
Note: beat=11, position=0, pitch=G4, duration=3, instrument=bass
Note: beat=7, position=6, pitch=A4, duration=3, instrument=bass
Note: beat=6, position=0, pitch=F5, duration=3, instrument=bass
Note: beat=6, position=0, pitch=C4, duration=1, instrument=bass
Note: beat=11, position=0, pitch=C4, duration=3, instrument=bass
Note: beat=13, position=0, pitch=D4, duration=3, instrument=bass
Note: beat=12, position=6, pitch=A#4, duration=3, instrument=bass
Note: beat=4, position=6, pitch=D5, duration=3, instrument=bass
Note: beat=7, position=6, pitch=F4, duration=2, instrument=bass
Note: beat=9, position=0, pitch=G4, duration=2, instrument=bass
Note: beat=11, position=3, pitch=G4, duration=3, instrument=bass
Note: beat=13, position=6, pitch=E5, duration=3, instrument=bass
Note: beat=14, position=6, pitch=C5, duration=2, instrument=bass
Note: beat=12, position=6, pitch=E5, duration=1, instrument=bass
Note: beat=14, position=0, pitch=G5, duration=3, instrument=bass
Note: beat=11, position=0, pitch=D5, duration=1, instrument=bass
Note: beat=10, position=0, pitch=A4, duration=3, instrument=bass
Note: beat=9, position=6, pitch=D4, duration=3, instrument=bass
Note: beat=9, position=6, pitch=C4, duration=3, instrument=bass
Note: beat=13, position=0, pitch=A4, duration=2, instrument=bass
Note: beat=15, position=0, pitch=A4, duration=3, instrument=bass
Note: beat=9, position=6, pitch=G5, duration=2, instrument=bass
Note: beat=13, position=0, pitch=A4, duration=2, instrument=bass
Note: beat=7, position=6, pitch=F4, duration=1, instrument=bass
Note: beat=11, position=0, pitch=C5, duration=6, instrument=bass
Note: beat=13, position=0, pitch=C5, duration=3, instrument=bass
Note: beat=10, position=0, pitch=D5, duration=2, instrument=bass
Note: beat=10, position=0, pitch=C5, duration=3, instrument=bass
Note: beat=11, position=0, pitch=C5, duration=1, instrument=bass
Note: beat=11, position=6, pitch=E4, duration=1, instrument=bass
Note: beat=11, position=6, pitch=E5, duration=2, instrument=bass
Note: beat=8, position=6, pitch=G4, duration=2, instrument=bass
